start_date,end_date,magnitude,length_days,recovery_days,magnitude_pct
2020-06-30,2022-08-26,0.35987753536974193,540,492,35.987753536974196
2022-09-01,2022-09-02,0.011600861847218496,1,1,1.1600861847218495
2022-09-13,2022-12-19,0.538664906392738,69,80,53.8664906392738
2022-12-20,2023-09-06,0.457854415463409,175,210,45.7854415463409
2023-09-07,2023-09-14,0.0493670711110867,5,3,4.93670711110867
2023-09-18,2024-05-07,0.32092200240492763,159,133,32.092200240492765
2024-05-08,2024-05-09,0.0017626724934559565,1,1,0.17626724934559565
2024-05-13,2024-05-17,0.07437066768333735,4,2,7.437066768333735
2024-05-22,2024-06-13,0.08229165942304693,16,8,8.229165942304693
2024-06-25,2025-01-30,0.2769929291447879,153,87,27.69929291447879
2025-02-03,2025-02-04,0.04661427353832559,1,1,4.6614273538325595
2025-02-05,2025-03-07,0.0857699897475364,22,21,8.57699897475364
2025-03-11,2025-03-13,0.007319297481462086,2,2,0.7319297481462086
2025-03-19,2025-06-25,0.1816964180417816,63,96,18.16964180417816
