start_date,end_date,magnitude,length_days,recovery_days,magnitude_pct
2020-07-03,2020-07-07,0.014834837326160085,2,4,1.4834837326160084
2020-07-08,2020-07-16,0.0366666438098212,5,7,3.66666438098212
2020-07-21,2020-07-28,0.026959281120560227,5,4,2.6959281120560226
2020-08-04,2020-08-11,0.08855423021872824,5,5,8.855423021872824
2020-08-14,2020-08-19,0.039075490974644744,3,2,3.907549097464474
2020-08-20,2020-09-15,0.12534215705072232,18,12,12.534215705072233
2020-09-16,2020-10-14,0.10840110158837912,20,6,10.840110158837913
2020-10-15,2020-10-20,0.016711563452044036,3,4,1.6711563452044036
2020-10-22,2020-10-23,0.008251681908832636,1,1,0.8251681908832637
2020-10-28,2020-10-30,0.009823237489903573,1,2,0.9823237489903572
2020-11-03,2020-11-04,0.033807808984695785,1,1,3.3807808984695784
2020-11-10,2020-11-16,0.09515854060534759,4,4,9.515854060534759
2020-11-17,2020-11-24,0.045193067131677096,5,6,4.51930671316771
2020-11-25,2020-12-07,0.1327999706307132,8,7,13.279997063071319
2020-12-08,2021-01-05,0.031496083840246755,19,11,3.1496083840246754
2021-01-07,2021-01-11,0.0218977907225043,2,4,2.18977907225043
2021-01-14,2021-01-18,0.05374994382799977,2,3,5.374994382799977
2021-01-20,2021-02-18,0.14852065777153559,21,20,14.852065777153559
2021-02-23,2021-03-17,0.17092808382657582,16,19,17.09280838265758
2021-03-18,2021-11-22,0.3368237801386582,166,47,33.68237801386582
2021-11-24,2021-11-25,0.014736862794774526,1,1,1.4736862794774526
2021-11-26,2021-11-29,0.01807729186486922,1,3,1.807729186486922
2021-11-30,2021-12-02,0.002028388939366502,2,2,0.2028388939366502
2021-12-06,2021-12-09,0.02269233273912314,3,3,2.269233273912314
2021-12-10,2021-12-13,0.0159878106647347,1,3,1.5987810664734698
2021-12-15,2021-12-16,0.0024796071249623573,1,1,0.24796071249623572
2021-12-17,2022-03-17,0.25876455354382605,64,84,25.876455354382603
2022-03-18,2022-03-22,0.0283641527587176,2,4,2.83641527587176
2022-03-24,2022-06-06,0.13449366177417252,48,17,13.449366177417252
2022-06-07,2022-08-08,0.19052127980165293,41,34,19.05212798016529
2022-08-09,2022-08-10,0.00987654923943306,1,1,0.987654923943306
2022-08-15,2022-08-16,0.02128919263132667,1,1,2.128919263132667
2022-08-17,2022-08-18,0.0023633111084854696,1,1,0.23633111084854697
2022-08-19,2022-09-08,0.04653882913221091,13,7,4.653882913221091
2022-09-13,2022-09-14,0.03404624303193289,1,1,3.4046243031932892
2022-09-15,2022-10-10,0.09216062107860432,17,11,9.21606210786043
2022-10-11,2022-10-17,0.06109857739487238,4,5,6.1098577394872375
2022-10-19,2022-10-24,0.016023810733804364,3,3,1.6023810733804364
2022-10-25,2022-11-14,0.05722637839549904,14,11,5.722637839549904
2022-11-17,2022-11-18,0.04054387202851258,1,1,4.054387202851259
2022-11-24,2022-11-25,0.00875022589187794,1,1,0.875022589187794
2022-11-28,2022-11-30,0.008489739829869185,2,1,0.8489739829869185
2022-12-02,2022-12-19,0.06575404341115626,11,11,6.575404341115626
2022-12-21,2022-12-26,0.010909914068289095,3,3,1.0909914068289095
2022-12-27,2022-12-29,0.010735258883104986,2,2,1.0735258883104986
2023-01-03,2023-02-15,0.15013905564636268,27,35,15.013905564636268
2023-02-17,2023-02-20,0.007414057544040828,1,3,0.7414057544040829
2023-02-21,2023-02-27,0.03480613318695763,4,3,3.480613318695763
2023-02-28,2023-03-01,0.007920808088193166,1,1,0.7920808088193166
2023-03-03,2023-03-06,0.001357733880182719,1,3,0.1357733880182719
2023-03-09,2023-06-05,0.16423984313869383,59,11,16.423984313869383
2023-06-09,2023-06-22,0.06235565489234933,9,8,6.235565489234933
2023-06-27,2023-07-03,0.005228778116064134,1,6,0.5228778116064134
2023-07-04,2023-07-05,0.0184492357858852,1,1,1.8449235785885199
2023-07-10,2023-07-20,0.048751469066705494,8,2,4.875146906670549
2023-07-24,2023-07-26,0.03558954356480134,2,1,3.558954356480134
2023-07-28,2024-02-12,0.24559582329784652,139,49,24.55958232978465
2024-02-13,2024-02-20,0.03145617460699107,5,7,3.145617460699107
2024-02-21,2024-02-22,0.004056810670071946,1,1,0.4056810670071946
2024-02-23,2024-02-26,0.010742172438768101,1,3,1.07421724387681
2024-02-29,2024-03-06,0.04932300192321257,4,2,4.932300192321256
2024-03-12,2024-03-20,0.052351322593149605,6,2,5.235132259314961
2024-03-22,2024-04-05,0.09196353566505008,10,9,9.196353566505008
2024-04-08,2024-05-22,0.10500412544326687,27,27,10.500412544326688
