Symbol,Annual_Volatility,Max_Drawdown,Avg_Drawdown,Optimal_Stop_Loss,Conservative_SL,Aggressive_SL,Avg_Recovery_Days,Risk_Category
ASELS,44.991933356803386,43.531112417640344,6.66988179223676,10.45380985929208,6.215144676266693,16.96543353760339,15.446428571428571,Medium_Risk
DOHOL,45.6152880068858,40.067051485602995,7.763169830891635,9.308428495100431,6.789863366575196,20.538412603495647,20.214285714285715,Medium_Risk
EKGYO,49.744669453431925,42.5344712601625,8.754543985356054,12.5344785166564,5.361841010435175,28.843888215381085,14.877551020408163,Medium_Risk
EREGL,40.940101376436935,40.99478731117478,5.847331895585541,7.705814324060535,5.838960215246721,14.838839748620957,17.173076923076923,Medium_Risk
BIMAS,37.3009224654162,27.924753730852125,5.162964980366439,8.031402188095761,5.163935221559211,13.859537954577744,13.721311475409836,Medium_Risk
FROTO,44.47619578150667,33.68237801386582,6.008896470052378,9.909677454051536,6.1224285144620065,14.965353628391455,8.671875,Medium_Risk
ARCLK,41.38093739055442,39.95063491303405,6.158550274714001,7.915974750195349,5.827692932686983,14.57457502099345,16.53846153846154,Medium_Risk
AKBNK,46.802640491655104,36.836091031050465,8.979771939631663,11.793156899245826,10.960309607328817,25.709485800518905,20.488888888888887,Medium_Risk
HALKB,47.62251372240583,53.8664906392738,17.822176429591824,11.999745534975874,28.138583647080186,42.8461351435309,81.21428571428571,Medium_Risk
ISCTR,46.6204821397118,40.0796830989628,8.218664024607895,11.747257308914838,7.961453499694689,20.550430605619965,17.625,Medium_Risk
GUBRF,55.07494576938845,57.35889843324414,8.568563041801372,9.305911168625947,7.700917395887843,15.22002048646403,20.942857142857143,High_Risk
KOZAL,49.70463869831173,48.77507811216521,7.0685231177032355,7.422846735689609,5.526478121926103,17.14287275918505,17.322580645161292,Medium_Risk
KOZAA,50.89826155513112,49.37853071163777,9.902597255471338,12.825156403847297,10.295723968978743,28.56307265420716,26.225,High_Risk
KRDMD,49.89207345795446,46.49122760319817,9.757414611871226,12.571620834582273,9.995714790549469,28.823266616973804,18.32608695652174,Medium_Risk
GARAN,45.64839569662991,37.99814785681952,7.441527493014171,11.001421424666528,8.02119904381696,21.26674104230016,16.396551724137932,Medium_Risk
KCHOL,40.19186276190944,28.207851332429296,5.324898138754139,7.774314896045861,5.107090716828015,15.306751559946008,8.666666666666666,Medium_Risk
PETKM,44.73502282354197,42.23632720641032,9.650707369086131,11.272166217703862,11.429867713039947,25.00064115168614,19.95,Medium_Risk
PGSUS,47.02414749741124,33.98480506609815,7.248757891294307,11.24554776307077,8.00560423252007,20.707016634434257,15.175438596491228,Medium_Risk
SASA,54.70228968572525,29.49537915509193,5.253710573468515,7.838861671249383,5.652249170821162,11.97573681098006,7.044444444444444,High_Risk
SAHOL,39.86086327278375,31.091967503988926,5.8041679701334035,8.270517303435065,6.543196291672287,17.248219891426345,11.966101694915254,Medium_Risk
TKFEN,4450.859707099593,48.30012493158308,8.42072539681227,11.81829500082454,8.244835238531392,25.36634933972259,16.0,
THYAO,42.84388854045536,28.070171569356265,6.092540940989859,10.437530911466327,6.412826984143244,17.243948995068088,14.21311475409836,Medium_Risk
SISE,39.58649134923,33.70976912492134,5.39640117265376,8.944964304090986,4.95025864863162,12.299021109247981,10.245283018867925,Medium_Risk
TAVHL,43.66588225977463,32.8311672458401,6.785269121958786,8.31996809686748,5.631806800893522,21.375506618355857,11.65079365079365,Medium_Risk
AEFES,149.3336604972365,38.72437190902416,5.521687847228854,8.323229395309216,4.884351997653035,14.595533018980268,12.882352941176471,
ALGYO,41.818862254030016,40.66125774019549,7.287566405744246,8.761347825195143,6.538478385517282,24.55675036987698,19.333333333333332,Medium_Risk
ANSGR,40.46722209957026,38.49850638592701,5.33352726898259,7.677946009038261,5.489922857338433,11.19730590551132,11.53448275862069,Medium_Risk
DOAS,51.639160140916665,39.97400869607355,6.598216412173572,9.366388611725734,6.882012215816865,14.226935545466029,10.59016393442623,High_Risk
EGEEN,54.02753519889014,42.157300972991365,9.43031980075942,13.613659246290657,11.142555803436531,25.543890196731937,18.157894736842106,High_Risk
ENKAI,42.88478065059847,33.991226274522006,6.040314293804519,8.288408357956232,6.134997395380162,16.988656250066878,13.75,Medium_Risk
ISDMR,40.93126695685855,23.53351641143857,5.167675245337441,7.21428832998113,5.638664985295409,13.521665412239415,11.58695652173913,Medium_Risk
AKSEN,44.90003098135727,24.120598672359954,4.782024483425283,8.129795969023496,5.477088635924427,12.422087579189375,6.111111111111111,Medium_Risk
ODAS,52.8694633330871,60.90931166943836,11.223242383199453,13.321852564647282,8.814560366796478,23.184765472836233,16.37037037037037,High_Risk
