start_date,end_date,magnitude,length_days,recovery_days,magnitude_pct
2020-07-03,2020-07-16,0.03406342809904119,8,6,3.4063428099041193
2020-07-17,2020-07-20,0.016908268754845066,1,3,1.6908268754845066
2020-07-21,2020-07-22,0.019903474175377706,1,1,1.9903474175377707
2020-07-24,2020-07-27,0.00227408978351242,1,3,0.227408978351242
2020-07-28,2020-09-30,0.18809778041120548,44,55,18.80977804112055
2020-10-01,2021-11-23,0.2652816409797656,285,133,26.528164097976557
2021-11-26,2021-11-29,0.028195505738224116,1,3,2.819550573822412
2021-11-30,2021-12-07,0.04397537423329659,5,7,4.397537423329659
2021-12-10,2021-12-13,0.021565530981769585,1,3,2.1565530981769587
2021-12-15,2021-12-16,0.02521007791132942,1,1,2.521007791132942
2021-12-17,2022-04-08,0.3087052116661645,80,43,30.87052116661645
2022-04-12,2022-04-18,0.015725469403414332,4,3,1.5725469403414332
2022-04-19,2022-04-21,0.015625019049780163,2,2,1.5625019049780162
2022-04-22,2022-09-05,0.24193546661223722,88,53,24.19354666122372
2022-09-06,2022-09-09,0.02571229164221454,3,1,2.571229164221454
2022-09-13,2022-09-14,0.06947895663302342,1,1,6.947895663302342
2022-09-16,2022-11-02,0.15121089034086224,33,35,15.121089034086225
2022-11-03,2022-11-08,0.03846156708567025,3,5,3.846156708567025
2022-11-10,2022-11-11,0.00470958397244297,1,1,0.470958397244297
2022-11-15,2022-11-22,0.047482002542216836,5,4,4.7482002542216835
2022-11-28,2022-11-30,0.02489628099471158,2,1,2.489628099471158
2022-12-01,2022-12-05,0.030502875685763122,2,3,3.0502875685763122
2022-12-06,2022-12-08,0.014865365245394457,2,2,1.4865365245394457
2022-12-14,2022-12-19,0.04970508886413032,3,5,4.970508886413032
2022-12-21,2022-12-30,0.04999998749279585,7,3,4.999998749279585
2023-01-04,2023-07-14,0.43531112417640344,127,65,43.531112417640344
2023-07-18,2023-07-26,0.060810810810810814,6,8,6.081081081081082
2023-07-27,2023-07-28,0.014131938204987345,1,1,1.4131938204987344
2023-07-31,2023-08-02,0.0013395642609120013,2,1,0.13395642609120012
2023-08-03,2023-08-15,0.048284568865515604,8,5,4.82845688655156
2023-08-16,2023-09-06,0.10569618321672271,14,19,10.569618321672271
2023-09-11,2023-10-09,0.12643678160919541,20,19,12.643678160919542
2023-10-10,2023-11-06,0.09662720089466298,19,12,9.662720089466298
2023-11-07,2023-11-20,0.07532702167555028,9,5,7.532702167555028
2023-11-22,2023-11-23,0.005596175778231922,1,1,0.5596175778231922
2023-11-28,2023-12-05,0.028340110984520824,5,6,2.8340110984520823
2023-12-06,2023-12-15,0.08511498718944996,7,2,8.511498718944996
2023-12-18,2024-01-29,0.13266125441093599,29,33,13.266125441093598
2024-01-30,2024-02-05,0.015564261245304313,4,5,1.5564261245304312
2024-02-06,2024-02-12,0.021012387892711485,4,5,2.1012387892711484
2024-02-14,2024-02-15,0.000909904210488536,1,1,0.0909904210488536
2024-02-27,2024-11-13,0.21127818401594808,174,225,21.12781840159481
2024-11-15,2024-11-22,0.034381836526461054,5,2,3.4381836526461056
2024-11-26,2024-11-28,0.021014448525249096,2,2,2.1014448525249096
2024-11-29,2024-12-02,0.009978682286677946,1,3,0.9978682286677946
2024-12-10,2024-12-23,0.051929781729714915,9,7,5.1929781729714914
2024-12-27,2025-01-03,0.025537654393972285,4,3,2.5537654393972287
2025-01-08,2025-01-09,0.00905568628720514,1,1,0.905568628720514
2025-01-14,2025-01-16,0.00634517741923928,2,1,0.634517741923928
2025-01-21,2025-01-23,0.020643557738211984,2,2,2.0643557738211986
2025-01-29,2025-02-27,0.128834387676209,21,15,12.8834387676209
2025-03-07,2025-03-11,0.03565062485558888,2,4,3.5650624855588884
2025-03-12,2025-03-14,0.009401696360009348,2,2,0.9401696360009348
2025-03-19,2025-04-17,0.1045380985929208,19,27,10.45380985929208
2025-04-21,2025-04-22,0.015396400805062676,1,1,1.5396400805062675
2025-04-29,2025-05-07,0.06349208271452304,5,5,6.349208271452304
