start_date,end_date,magnitude,length_days,recovery_days,magnitude_pct
2020-06-30,2020-07-06,0.015213611415480843,4,3,1.5213611415480843
2020-07-09,2021-01-05,0.2570306092665426,123,67,25.70306092665426
2021-01-06,2021-01-07,0.021965901169027753,1,1,2.1965901169027755
2021-01-08,2021-01-11,0.0016447727718489152,1,3,0.16447727718489152
2021-01-12,2021-01-13,0.0005369529964857456,1,1,0.053695299648574564
2021-01-14,2021-12-01,0.28435519065466774,218,56,28.435519065466774
2021-12-15,2021-12-16,0.003816794834432785,1,1,0.3816794834432785
2021-12-17,2022-08-08,0.35704019448191676,159,154,35.70401944819167
2022-08-09,2022-08-11,0.006646943849056499,2,1,0.6646943849056499
2022-08-12,2022-08-19,0.030769229592076182,5,7,3.0769229592076184
2022-08-24,2022-08-31,0.056551662142721934,4,6,5.655166214272193
2022-09-02,2022-09-05,0.011834337810833935,1,3,1.1834337810833935
2022-09-06,2022-09-07,0.018229120450106166,1,1,1.8229120450106167
2022-09-08,2022-09-12,0.04102569492951132,2,4,4.102569492951131
2022-09-13,2022-09-15,0.05619409653992709,2,2,5.619409653992709
2022-09-19,2022-09-21,0.03000610924652894,2,2,3.000610924652894
2022-09-22,2022-10-06,0.12066902946703974,10,6,12.066902946703975
2022-10-07,2022-11-02,0.09413117392907014,18,6,9.413117392907013
2022-11-03,2022-11-07,0.006325321067791169,2,4,0.6325321067791169
2022-11-09,2022-11-21,0.055346619581056196,8,4,5.53466195810562
2022-11-25,2022-11-30,0.015226010955849831,3,2,1.5226010955849831
2022-12-01,2022-12-12,0.07559203896620022,7,5,7.559203896620022
2022-12-14,2022-12-16,0.05498280368565514,2,2,5.498280368565514
2022-12-19,2022-12-23,0.037526720940826375,4,4,3.7526720940826372
2022-12-27,2023-01-03,0.10863512234479976,5,6,10.863512234479975
2023-01-04,2023-09-07,0.48300124931583077,165,128,48.30012493158308
2023-09-08,2023-09-12,0.03323379440687189,2,1,3.3233794406871886
2023-09-13,2023-09-14,0.028680688754906866,1,1,2.8680688754906867
2023-09-15,2023-09-28,0.08538677242207694,9,8,8.538677242207694
2023-10-02,2023-10-05,0.013992537711770862,3,2,1.3992537711770863
2023-10-06,2024-05-15,0.37037037037037035,151,141,37.03703703703704
2024-05-16,2024-05-17,0.0036629478723698775,1,1,0.3662947872369877
2024-05-20,2024-06-20,0.12056990692410675,20,9,12.056990692410675
2024-06-21,2024-07-04,0.09115046948458254,9,3,9.115046948458254
2024-07-05,2024-07-08,0.0008771795975534539,1,3,0.0877179597553454
2024-07-10,2024-07-11,0.0042771599099535665,1,1,0.4277159909953566
2024-07-12,2024-10-11,0.2074073969418459,63,9,20.74073969418459
2024-10-16,2024-10-17,0.010550067284707048,1,1,1.0550067284707048
2024-10-18,2024-10-22,0.018361624233369806,2,1,1.8361624233369807
2024-10-28,2024-10-31,0.013333333333333334,2,1,1.3333333333333335
2024-11-04,2024-11-12,0.06719365443467344,6,4,6.719365443467344
2024-11-20,2025-01-10,0.22335945057337586,36,7,22.335945057337586
