symbol,annual_volatility,optimal_stop_loss,tight_stop_loss,wide_stop_loss,optimal_take_profit,conservative_take_profit,aggressive_take_profit,optimal_trailing_stop,avg_rally,avg_drawdown,max_rally,max_drawdown,risk_reward_ratio,mtf_signal,mtf_alignment
AEFES,149.3336604972365,18.496772493263663,15.4112373707543,25.927632569305477,30.49837411561327,21.347251159512176,46.36948812176901,20,27.871766093124346,13.929788327913114,121.96349046358073,35.719403357476224,1.648848420810737,INSUFFICIENT_DATA,1.0
TUPRS,41.32526483097884,17.633581770236493,16.23534918163516,21.685113286686843,25.275095437476267,20.193976277216287,33.16980109138579,5,23.2341859310045,13.504871319761941,104.17246166388496,45.082766260011084,1.4333500571130586,INSUFFICIENT_DATA,1.0
YKBNK,47.22084719873771,19.52164567528383,16.641440190116764,25.621398027428818,35.316823808366784,21.455464993720028,49.649519242173966,3,28.816337508716302,15.14028679955697,132.37408640517847,43.769971672658954,1.809110993807304,INSUFFICIENT_DATA,1.0
ALARK,46.20475374413067,21.58139657276393,20.694444734229428,25.565899587773238,28.223206135424693,14.47243710225466,41.34616018632898,20,25.390290936242547,15.259714929740124,97.7777654787406,44.427001602049366,1.3077562446094353,INSUFFICIENT_DATA,-1.0
VAKBN,47.342840096075776,22.599499764078903,17.34601060595843,31.441770645178032,26.110029525837685,15.480335957087402,31.168827424621583,3,28.045594417572254,15.88375058284967,315.1603351011294,51.334270086196355,1.1553366135713607,INSUFFICIENT_DATA,1.0
VESTL,48.825053751982075,23.949043614089867,21.245776661935288,25.59087294426575,34.55950999048128,23.182412041866883,40.12116124003539,3,28.457369765271814,17.481261193553664,120.56787563452802,49.085719110217305,1.4430434278448176,INSUFFICIENT_DATA,-1.0
ALBRK,44.84515747936236,23.00000334977364,19.339622932366645,27.154042853510617,32.84550600805376,21.978348894106688,49.95847486796286,3,30.973439472100218,14.451538626255935,114.04958259160256,35.90731060150606,1.4280652706242767,INSUFFICIENT_DATA,1.0
ANSGR,40.46722209957026,15.416913693730447,12.709275764907288,22.651830123526967,17.83822664183209,14.456636411467533,23.335466518316498,20,26.771354337022366,11.942556070922954,283.72092100239274,50.689641677440356,1.1570556206127243,INSUFFICIENT_DATA,1.0
ANHYT,44.45284235855046,21.588296730097007,19.24368376699977,23.66229905129432,23.95562410117744,14.441068642073535,40.68857174733071,3,31.31567934274348,13.989467292116812,236.038181203394,34.65909232531694,1.1096579040337191,INSUFFICIENT_DATA,1.0
ALGYO,41.818862254030016,21.89965182693956,17.873352382072966,25.731662845504975,28.850372729581604,13.341170140272682,32.66367340076427,3,24.66015399171794,14.821281951065302,109.22332074170637,37.94254111441058,1.31738956206106,INSUFFICIENT_DATA,-1.0
CCOLA,55.38661778280534,18.514477952284924,14.472759686939868,24.059208173763924,30.46875,19.620850187907298,35.216141846406686,20,23.580998475493416,14.814422005757155,82.74944838293375,93.47632320478434,1.645671570028782,INSUFFICIENT_DATA,-1.0
AYGAZ,53.11702472400099,19.4567095323659,18.136587641250102,22.671759067130782,23.93757246989959,17.75100118270053,30.25426846748871,15,30.327331654792225,13.436435438284295,163.7513465549792,27.762805661204116,1.2302991125030598,INSUFFICIENT_DATA,-1.0
BRSAN,60.683963867313686,25.591880190805398,22.40050826667286,33.32569845908246,44.82934606445006,35.98326359832636,59.66012724022845,20,40.63531597625045,22.296310658057084,165.74531500210054,117.15790330317984,1.751701935544238,INSUFFICIENT_DATA,-1.0
BAGFS,56.77325257048993,25.50761742956894,24.036779243542032,32.753838854506945,32.636700893839645,21.685604837657273,41.814963558444404,5,29.172521833677536,20.57499217335915,119.91953975134113,87.56517874938325,1.2794884110189975,INSUFFICIENT_DATA,-1.0
GENIL,48.99035646427876,23.08772036903783,19.149890888565867,27.818698951034467,29.10210020813626,20.929842325623355,40.297271707060986,3,30.007792860875774,15.244094717081827,113.73427946269273,30.66509282894368,1.2605012423471706,INSUFFICIENT_DATA,1.0
CEMTS,50.36536941869646,22.878949983547585,17.77185129912009,25.38687784346799,31.33129896143063,18.02860784683568,40.250475860789734,3,26.55684336063685,15.967130913960347,111.05773568466914,52.6870619972789,1.3694378012960031,INSUFFICIENT_DATA,-1.0
ENKAI,42.88478065059847,16.99576960254671,12.660490071580853,20.993745616123825,26.343689859347542,18.118483801370235,30.873296286101144,3,24.827736191698484,11.680133997287571,119.68652001900426,33.27626161482454,1.5500145315808533,INSUFFICIENT_DATA,1.0
CIMSA,49.697552593132635,22.52725165758944,19.453456457052063,25.288081283595577,34.8260607901116,25.22154562847267,45.733015368336794,3,36.4118346911594,17.383031945637633,148.24057811486006,43.974764344964825,1.5459524898759094,INSUFFICIENT_DATA,-1.0
DOAS,51.639160140916665,20.264901692074883,16.797217402482694,23.140237993607776,30.1582312322522,19.804728315273884,40.395740584394645,20,31.429721697244798,13.933502818648236,129.2103312820627,29.0181370228016,1.4882002237418384,INSUFFICIENT_DATA,-1.0
EGEEN,54.02753519889014,25.36761627945262,18.261408354690577,28.701919512317506,23.99414909683783,17.002152261717917,38.139738019161015,3,25.694757734530196,20.261953739477285,93.50754294099319,107.05792338483752,0.9458574598620337,INSUFFICIENT_DATA,-1.0
GLYHO,52.16941593059571,22.175669045218115,20.460629325487357,35.50724442554457,33.1521415896179,21.412641088743563,37.211454718227564,3,33.08370027678462,18.887668572952297,245.088200781881,60.86959967456453,1.4949781908278754,INSUFFICIENT_DATA,1.0
GOZDE,52.57013793618673,21.706682898872813,20.08522993702257,25.582064220048558,29.60267934168165,19.874213353624004,45.685975675272125,3,32.22597666930121,17.781726490644942,176.42275994118233,57.89473802146108,1.363758777865542,INSUFFICIENT_DATA,-1.0
ISDMR,40.93126695685855,19.257588846916494,15.425545417352886,21.958922258675617,21.892708969528993,16.741362683992286,24.977619986683376,3,29.296997135085764,13.08373848310937,145.37933090840804,39.34489934904818,1.1368354129667917,INSUFFICIENT_DATA,-1.0
AKSEN,44.90003098135727,18.810523928447417,16.402030687076802,19.82912918330149,32.48301698967228,20.21457942475827,40.54997614546776,20,27.251445938533642,13.298787827077083,111.01694327997293,26.920821206225888,1.726853388732451,INSUFFICIENT_DATA,-1.0
AYEN,58.5854219746783,25.648135327419805,21.002111652714596,32.716260852275276,33.19538245475718,18.881124045554245,38.468747602627566,3,29.018715215127497,18.72364143206826,135.772359557357,55.504588620590866,1.294261045919732,INSUFFICIENT_DATA,-1.0
ODAS,52.8694633330871,23.59429827374082,20.049781756654344,29.998486664825837,17.142858115994215,15.087722145472835,30.27587145669936,20,27.526299164097736,17.709322448654284,240.29303651821544,53.6644936404755,0.7265678307997526,INSUFFICIENT_DATA,1.0
ZOREN,50.11016023397813,24.503743231290997,20.610499897635304,40.13324252303473,19.9630455941673,13.33332189060292,27.461311582163344,3,23.162200362000643,19.299526530624984,190.62507089881387,127.39275634396255,0.8146937145780536,INSUFFICIENT_DATA,1.0
KLNMA,66.92695736594804,27.42248193368647,20.541383814760817,42.17643550912008,24.11663186055859,14.257394924040295,33.971168928621,3,28.33150067134797,20.65550450502899,165.00000586876502,79.3103448275862,0.8794474518709815,INSUFFICIENT_DATA,-1.0
KUYAS,61.24174950240122,28.922236120395596,26.234268954931213,46.315059778569754,43.43438527044468,28.15292913851026,46.62882186640748,3,35.14148441873674,22.606578638612227,85.66611378750157,89.64576500183372,1.5017644240797585,INSUFFICIENT_DATA,1.0
YYAPI,64.39930864056575,27.52282512400793,22.758602526776713,41.57051215928567,43.36614468311305,21.1111116403886,47.059650871867944,3,38.69730257779145,21.176573075365198,150.00008931831044,96.00008940112542,1.57564292501663,INSUFFICIENT_DATA,-1.0
ANELE,52.12920654872969,24.725073116602832,19.633917024985372,30.04308474330753,23.382457777004323,18.098156929303247,29.31015073413301,3,22.983923676229637,17.78397376593637,99.73685885841685,64.03162773964323,0.945698225713357,INSUFFICIENT_DATA,1.0
TURSG,47.95655478283229,26.203260607827275,23.44347510263986,29.205661992153452,29.01871974107839,17.241342089488853,48.059633217857474,5,36.93653855085623,17.37045943025558,335.2126570769999,42.708311710364455,1.1074469004216252,INSUFFICIENT_DATA,1.0
