start_date,end_date,magnitude,length_days,recovery_days,magnitude_pct
2020-07-03,2020-07-06,0.022184281256873176,1,3,2.2184281256873177
2020-07-08,2020-09-21,0.11882712797888005,50,48,11.882712797888004
2020-09-29,2021-01-13,0.20978123831686274,74,75,20.978123831686275
2021-01-14,2021-01-20,0.03258142775000831,4,6,3.258142775000831
2021-01-21,2021-05-20,0.14126392954263323,81,59,14.126392954263324
2021-05-21,2021-06-03,0.029739735784874596,9,9,2.9739735784874597
2021-06-08,2021-08-10,0.09035407861011811,40,22,9.03540786101181
2021-08-11,2021-08-12,0.0059596007366564474,1,1,0.5959600736656447
2021-08-16,2021-08-17,0.005753637934885811,1,1,0.5753637934885811
2021-08-18,2021-08-23,0.006872796725298119,3,5,0.6872796725298119
2021-08-24,2021-11-09,0.12403098187087971,53,34,12.403098187087972
2021-11-11,2021-11-15,0.010449337996543242,2,4,1.0449337996543242
2021-11-22,2021-11-23,0.00355552681704018,1,1,0.355552681704018
2021-11-25,2021-11-29,0.005838191936825731,2,4,0.5838191936825731
2021-12-03,2021-12-06,0.005255176542741158,1,3,0.5255176542741158
2021-12-15,2021-12-16,0.021699877470908572,1,1,2.169987747090857
2021-12-17,2022-04-18,0.33709769124921335,86,53,33.70976912492134
2022-04-19,2022-04-20,0.005534043305748331,1,1,0.5534043305748331
2022-04-22,2022-05-05,0.03665202178994222,6,9,3.6652021789942224
2022-05-09,2022-05-10,0.006704407800048416,1,1,0.6704407800048416
2022-05-12,2022-05-25,0.033066111662064274,8,9,3.3066111662064275
2022-05-26,2022-05-30,0.03041828082813423,2,3,3.041828082813423
2022-06-01,2022-06-02,0.0009533106863709664,1,1,0.09533106863709664
2022-06-03,2022-06-06,0.009514783947855885,1,3,0.9514783947855885
2022-06-08,2022-08-01,0.118717494808301,35,18,11.8717494808301
2022-08-02,2022-08-03,0.01038960030973375,1,1,1.0389600309733749
2022-08-05,2022-08-08,0.015151540693756313,1,3,1.5151540693756314
2022-08-09,2022-08-10,0.013389108783755878,1,1,1.3389108783755879
2022-08-12,2022-08-17,0.02227718701640076,3,2,2.227718701640076
2022-08-22,2022-09-05,0.07076204290095843,9,4,7.076204290095843
2022-09-06,2022-09-07,0.0077699633787577235,1,1,0.7769963378757724
2022-09-08,2022-09-12,0.014459705410446692,2,4,1.4459705410446693
2022-09-13,2022-10-05,0.09214285441807338,16,5,9.214285441807338
2022-10-11,2022-10-17,0.053262327986238645,4,4,5.326232798623865
2022-10-18,2022-10-20,0.016666680931025753,2,1,1.6666680931025752
2022-10-27,2022-11-07,0.04294114954331342,7,10,4.294114954331342
2022-11-08,2022-11-10,0.01947298184807017,2,1,1.947298184807017
2022-11-11,2022-11-14,0.008978667236373803,1,3,0.8978667236373803
2022-11-15,2022-11-22,0.05444441901312934,5,5,5.444441901312934
2022-11-24,2022-11-25,0.00779218797559862,1,1,0.779218797559862
2022-11-29,2022-12-06,0.041666674550878996,5,1,4.166667455087899
2022-12-07,2022-12-13,0.03865216426411315,4,5,3.865216426411315
2022-12-14,2022-12-20,0.04699609215303459,4,6,4.699609215303459
2022-12-21,2022-12-29,0.02395783324838458,6,7,2.395783324838458
2022-12-30,2023-01-02,0.0027881678445489627,1,3,0.27881678445489627
2023-01-04,2023-02-20,0.20780907447828414,29,12,20.780907447828415
2023-02-21,2023-03-01,0.06315789473684211,6,5,6.315789473684211
2023-03-02,2023-03-06,0.03652036382223887,2,3,3.6520363822238866
2023-03-07,2023-07-17,0.29052839983076895,88,53,29.052839983076893
2023-07-18,2023-07-31,0.08809298968709749,9,6,8.809298968709749
2023-08-01,2023-08-02,0.021535608483486433,1,1,2.1535608483486435
2023-08-03,2023-08-04,0.01772382416579459,1,1,1.7723824165794588
2023-08-07,2023-09-13,0.11795802344567936,26,20,11.795802344567937
