feature,importance
tv_confidence,0.0742514
support_distance,0.054827098
supertrend_signal,0.054427583
squeeze_momentum,0.05338662
tv_strength,0.05223682
distance_to_ma20,0.05137944
wt_value,0.05072084
resistance_distance,0.047190953
squeeze_on,0.045654256
macd_histogram_value,0.045436263
volatility_20,0.04504251
di_diff,0.04248116
returns_20,0.040653173
distance_to_ma50,0.040017292
returns_5,0.036960587
lorentzian_signal,0.036547583
rsi_14,0.036524247
macd_signal,0.035908166
price_position,0.03453049
adx_value,0.034187086
candle_pattern,0.030417396
lor_confidence,0.030303884
returns_1,0.026915085
wavetrend_signal,0.0
trend_vanguard_signal,0.0
