date,total_value,cash,positions,mode,partial_exits_active
2024-11-28 00:00:00+00:00,77311.74180392601,71896.86185244896,2,DEFENSIVE,0
2024-11-29 00:00:00+00:00,76622.87937766983,73573.53932506515,2,DEFENSIVE,1
2024-12-02 00:00:00+00:00,76998.66956224253,71639.88968887141,2,DEFENSIVE,0
2024-12-03 00:00:00+00:00,76408.0680100689,73336.02803490259,2,DEFENSIVE,1
2024-12-04 00:00:00+00:00,76854.0211951151,71457.0010325327,2,DEFENSIVE,0
2024-12-05 00:00:00+00:00,76306.26314046574,73196.18315389348,2,DEFENSIVE,1
2024-12-06 00:00:00+00:00,76825.19808008529,71357.08806850768,2,DEFENSIVE,0
2024-12-09 00:00:00+00:00,76273.59181045105,73135.40179179718,2,DEFENSIVE,1
2024-12-10 00:00:00+00:00,76654.8661794162,71247.81605429413,2,DEFENSIVE,0
2024-12-11 00:00:00+00:00,75925.15095166353,72913.55100468782,2,DEFENSIVE,1
2024-12-12 00:00:00+00:00,76506.92561681273,71063.64579017165,2,DEFENSIVE,0
2024-12-13 00:00:00+00:00,75881.65129415324,72799.00130502513,2,DEFENSIVE,1
2024-12-16 00:00:00+00:00,76350.21301312593,70932.72311015276,2,DEFENSIVE,0
2024-12-17 00:00:00+00:00,75728.3237683864,72650.58373714403,2,DEFENSIVE,1
2024-12-18 00:00:00+00:00,76171.04003031019,70813.02005464796,2,DEFENSIVE,0
2024-12-19 00:00:00+00:00,75370.65820330386,72397.33823126559,2,DEFENSIVE,1
2024-12-20 00:00:00+00:00,75284.2884609714,70372.26842713503,2,DEFENSIVE,0
2024-12-23 00:00:00+00:00,74593.38531578115,71775.44533098272,2,DEFENSIVE,1
2024-12-24 00:00:00+00:00,74693.86378816895,69793.29379109673,2,DEFENSIVE,0
2024-12-25 00:00:00+00:00,74161.45425656132,71287.38423302464,2,DEFENSIVE,1
2024-12-26 00:00:00+00:00,74337.17884977823,69347.22887857919,2,DEFENSIVE,0
2024-12-27 00:00:00+00:00,73885.67233278183,70944.5224113646,2,DEFENSIVE,1
2024-12-30 00:00:00+00:00,74018.18540083079,69038.1353627315,2,DEFENSIVE,0
2024-12-31 00:00:00+00:00,73335.1730303512,70511.51300952295,2,DEFENSIVE,1
2025-01-02 00:00:00+00:00,73628.99218633893,68627.1921117616,2,DEFENSIVE,0
2025-01-03 00:00:00+00:00,73410.45529791502,70372.21531912473,2,DEFENSIVE,1
2025-01-06 00:00:00+00:00,73887.61090978292,68619.21110852865,2,DEFENSIVE,0
2025-01-07 00:00:00+00:00,73202.03471155599,70244.43460627034,2,DEFENSIVE,1
2025-01-08 00:00:00+00:00,73466.17337507727,68408.22340363981,2,DEFENSIVE,0
2025-01-09 00:00:00+00:00,73086.19908252431,70087.09915033056,2,DEFENSIVE,1
2025-01-10 00:00:00+00:00,73393.06534653332,68284.26529770519,2,DEFENSIVE,0
2025-01-13 00:00:00+00:00,72655.69878146793,69789.55887553837,2,DEFENSIVE,1
2025-01-14 00:00:00+00:00,72783.91876176311,67927.88884261562,2,DEFENSIVE,0
2025-01-15 00:00:00+00:00,72254.1296569772,69412.49967116787,2,DEFENSIVE,1
2025-01-16 00:00:00+00:00,72539.64168107176,67608.7617911067,2,DEFENSIVE,0
2025-01-17 00:00:00+00:00,72078.24241033889,69163.31243864394,2,DEFENSIVE,1
2025-01-20 00:00:00+00:00,72405.61978877259,67429.85989583207,2,DEFENSIVE,0
2025-01-21 00:00:00+00:00,71979.33694098998,69016.18691991377,2,DEFENSIVE,1
2025-01-22 00:00:00+00:00,72360.57184558344,67324.88197570277,2,DEFENSIVE,0
2025-01-23 00:00:00+00:00,71899.43610185196,68932.49620669891,2,DEFENSIVE,1
2025-01-24 00:00:00+00:00,72160.64056280997,67216.50063017753,2,DEFENSIVE,0
2025-01-27 00:00:00+00:00,71680.17834984687,68770.45828377632,2,DEFENSIVE,1
2025-01-28 00:00:00+00:00,72074.33685466055,67103.3568396211,2,DEFENSIVE,0
2025-01-29 00:00:00+00:00,71669.25880012277,68700.03881034616,2,DEFENSIVE,1
2025-01-30 00:00:00+00:00,72010.63930464987,67063.03917790655,2,DEFENSIVE,0
2025-01-31 00:00:00+00:00,71668.59241652826,68668.95252395014,2,DEFENSIVE,1
2025-02-03 00:00:00+00:00,71624.11789931063,66911.73786677126,2,DEFENSIVE,0
2025-02-04 00:00:00+00:00,71459.26460272126,68481.1145756846,2,DEFENSIVE,1
2025-02-05 00:00:00+00:00,71487.74429201512,66763.74422144322,2,DEFENSIVE,0
2025-02-06 00:00:00+00:00,71086.15495486264,68221.35492081646,2,DEFENSIVE,1
2025-02-07 00:00:00+00:00,71193.85727755836,66484.60731761268,2,DEFENSIVE,0
2025-02-10 00:00:00+00:00,70785.54736014942,67945.42730876544,2,DEFENSIVE,1
2025-02-11 00:00:00+00:00,70856.30690924934,66189.1470143061,2,DEFENSIVE,0
2025-02-12 00:00:00+00:00,70424.32061333087,67613.23059553531,2,DEFENSIVE,1
2025-02-13 00:00:00+00:00,70474.25550887492,65848.53551432994,2,DEFENSIVE,0
2025-02-14 00:00:00+00:00,70047.97712031844,67276.45710889342,2,DEFENSIVE,1
2025-02-17 00:00:00+00:00,70187.85473426677,65562.23478921749,2,DEFENSIVE,0
2025-02-18 00:00:00+00:00,69764.32648126366,66975.12649003747,2,DEFENSIVE,1
2025-02-19 00:00:00+00:00,69704.00736663058,65204.6173360081,2,DEFENSIVE,0
2025-02-20 00:00:00+00:00,69401.7477961164,66613.12781101279,2,DEFENSIVE,1
2025-02-21 00:00:00+00:00,69263.03648536735,64828.99635475212,2,DEFENSIVE,0
2025-02-24 00:00:00+00:00,68875.98366144997,66172.10362986427,2,DEFENSIVE,1
2025-02-25 00:00:00+00:00,68794.4696612659,64413.089782744944,2,DEFENSIVE,0
2025-02-26 00:00:00+00:00,68465.9132428599,65748.02332810884,2,DEFENSIVE,1
2025-02-27 00:00:00+00:00,68438.71002371365,64023.94991190488,2,DEFENSIVE,0
2025-02-28 00:00:00+00:00,68064.64912729699,65368.96908526855,2,DEFENSIVE,1
2025-03-03 00:00:00+00:00,68179.18473990065,63728.30459196669,2,DEFENSIVE,0
2025-03-04 00:00:00+00:00,67820.82906192262,65090.52915209252,2,DEFENSIVE,1
2025-03-05 00:00:00+00:00,67944.61061960037,63464.890615041804,2,DEFENSIVE,0
2025-03-06 00:00:00+00:00,67860.88434878882,65002.24434272345,2,DEFENSIVE,1
2025-03-07 00:00:00+00:00,68324.56904826219,63553.629004812785,2,DEFENSIVE,0
2025-03-10 00:00:00+00:00,68169.74853424414,65197.948450130054,2,DEFENSIVE,1
2025-03-11 00:00:00+00:00,68567.83950964933,63758.12938658721,2,DEFENSIVE,0
2025-03-12 00:00:00+00:00,68376.05030779605,65401.65033058887,2,DEFENSIVE,1
2025-03-13 00:00:00+00:00,68833.67549383504,63958.735472320135,2,DEFENSIVE,0
2025-03-14 00:00:00+00:00,68711.03359421162,65665.7335480061,2,DEFENSIVE,1
2025-03-17 00:00:00+00:00,69245.96403685573,64280.96397963528,2,DEFENSIVE,0
2025-03-18 00:00:00+00:00,69115.37208414271,66032.81210756495,2,DEFENSIVE,1
2025-03-19 00:00:00+00:00,68823.0856863046,64350.92579016927,2,DEFENSIVE,0
2025-03-20 00:00:00+00:00,68532.0317949777,65744.57177705815,2,DEFENSIVE,1
2025-03-21 00:00:00+00:00,67833.30039048436,65323.38041663411,2,DEFENSIVE,1
2025-03-24 00:00:00+00:00,67682.54019488004,65026.35023034718,2,DEFENSIVE,1
2025-03-25 00:00:00+00:00,67722.28958020356,63397.889496661686,2,DEFENSIVE,0
2025-03-26 00:00:00+00:00,67564.981841373,64776.3017857547,2,DEFENSIVE,1
2025-03-27 00:00:00+00:00,67668.46973735097,63230.409697830706,2,DEFENSIVE,0
2025-03-28 00:00:00+00:00,67452.47746491816,64668.817428592716,2,DEFENSIVE,1
2025-04-02 00:00:00+00:00,67450.74752337363,63072.767631358176,2,DEFENSIVE,0
2025-04-03 00:00:00+00:00,67041.90279506831,64367.76276754526,2,DEFENSIVE,1
2025-04-04 00:00:00+00:00,66655.22234050518,64043.80228988414,2,DEFENSIVE,1
2025-04-07 00:00:00+00:00,66274.20737410884,63719.947352422285,2,DEFENSIVE,1
2025-04-08 00:00:00+00:00,66049.97957346492,63427.49947998577,2,DEFENSIVE,1
2025-04-09 00:00:00+00:00,65660.62985307461,63118.779874627646,2,DEFENSIVE,1
2025-04-10 00:00:00+00:00,65327.75444299465,62783.02442056423,2,DEFENSIVE,1
2025-04-11 00:00:00+00:00,65057.82360479122,62474.963529317436,2,DEFENSIVE,1
2025-04-14 00:00:00+00:00,65007.56206999784,60876.43210755353,2,DEFENSIVE,0
2025-04-15 00:00:00+00:00,64824.24210699086,62202.4621253777,2,DEFENSIVE,1
2025-04-16 00:00:00+00:00,64654.577555274525,60564.737531995335,2,DEFENSIVE,0
2025-04-17 00:00:00+00:00,64332.17119106773,61794.211135716476,2,DEFENSIVE,1
2025-04-18 00:00:00+00:00,64127.33615441374,60140.826070261515,2,DEFENSIVE,0
2025-04-21 00:00:00+00:00,63834.39252780965,59848.41239308408,2,DEFENSIVE,0
2025-04-22 00:00:00+00:00,63556.03983387807,59593.19977912763,2,DEFENSIVE,0
2025-04-24 00:00:00+00:00,63407.4955859876,60844.39554555181,2,DEFENSIVE,1
2025-04-25 00:00:00+00:00,63307.70543970302,59278.49551834301,2,DEFENSIVE,0
2025-04-28 00:00:00+00:00,62913.014705974616,58987.50463636593,2,DEFENSIVE,0
2025-04-29 00:00:00+00:00,62635.98545171742,58733.52533032421,2,DEFENSIVE,0
2025-04-30 00:00:00+00:00,62343.29408972554,58470.504133394286,2,DEFENSIVE,0
2025-05-02 00:00:00+00:00,62085.665542867704,58206.12562539868,2,DEFENSIVE,0
2025-05-05 00:00:00+00:00,61717.116641429944,57939.8866135159,2,DEFENSIVE,0
2025-05-06 00:00:00+00:00,61445.7080592175,57673.37807455258,2,DEFENSIVE,0
2025-05-07 00:00:00+00:00,61132.34636918835,57383.466410081906,2,DEFENSIVE,0
2025-05-08 00:00:00+00:00,60929.78950526814,57138.87960436444,2,DEFENSIVE,0
2025-05-09 00:00:00+00:00,60761.613117235225,56894.13319494061,2,DEFENSIVE,0
2025-05-12 00:00:00+00:00,60808.42422954086,58226.124182858504,2,DEFENSIVE,1
2025-05-13 00:00:00+00:00,60847.60046449856,56878.24048224644,2,DEFENSIVE,0
2025-05-14 00:00:00+00:00,60735.437402657546,58172.277444771804,2,DEFENSIVE,1
2025-05-15 00:00:00+00:00,60461.094519688646,58012.074473454515,2,DEFENSIVE,1
2025-05-16 00:00:00+00:00,60490.31852577833,56579.60853146223,2,DEFENSIVE,0
2025-05-20 00:00:00+00:00,60302.93333725314,57827.77325634341,2,DEFENSIVE,1
2025-05-21 00:00:00+00:00,60155.85090045266,56332.800866406484,2,DEFENSIVE,0
2025-05-22 00:00:00+00:00,59948.997737319034,56154.137695939105,2,DEFENSIVE,0
2025-05-23 00:00:00+00:00,59682.35490935043,55940.34497039513,2,DEFENSIVE,0
2025-05-26 00:00:00+00:00,59463.69606459335,55739.526170613324,2,DEFENSIVE,0
2025-05-27 00:00:00+00:00,59177.5742700167,55515.35425496772,2,DEFENSIVE,0
2025-05-28 00:00:00+00:00,58959.38757206443,55316.407528176336,2,DEFENSIVE,0
2025-05-29 00:00:00+00:00,58698.90970056823,55088.01971762946,2,DEFENSIVE,0
2025-05-30 00:00:00+00:00,58423.58606429579,54797.67611094,2,DEFENSIVE,0
2025-06-02 00:00:00+00:00,58106.7047650633,54538.924835186976,2,DEFENSIVE,0
2025-06-03 00:00:00+00:00,57956.20559828092,54309.075668976795,2,DEFENSIVE,0
2025-06-04 00:00:00+00:00,57795.43155005933,54086.77143553258,2,DEFENSIVE,0
2025-06-05 00:00:00+00:00,57590.59197991658,53877.04193013478,2,DEFENSIVE,0
2025-06-10 00:00:00+00:00,57505.11701846982,53732.73701430226,2,DEFENSIVE,0
2025-06-11 00:00:00+00:00,57321.65737767316,53565.93726892568,2,DEFENSIVE,0
2025-06-12 00:00:00+00:00,57050.782149592414,53381.81220106222,2,DEFENSIVE,0
2025-06-13 00:00:00+00:00,56649.96992258884,53233.82994179584,2,DEFENSIVE,0
2025-06-16 00:00:00+00:00,56429.83659868862,52998.966572815436,2,DEFENSIVE,0
2025-06-17 00:00:00+00:00,56225.836125519294,52805.35616746189,2,DEFENSIVE,0
2025-06-18 00:00:00+00:00,55936.35575303509,52571.84574160053,2,DEFENSIVE,0
2025-06-19 00:00:00+00:00,55536.09095401146,52262.65106624939,2,DEFENSIVE,0
2025-06-20 00:00:00+00:00,55324.86696731617,51991.26694595387,2,DEFENSIVE,0
2025-06-23 00:00:00+00:00,55025.81440011074,51736.01442185452,2,DEFENSIVE,0
2025-06-24 00:00:00+00:00,55069.35280785611,51635.67282662442,2,DEFENSIVE,0
2025-06-25 00:00:00+00:00,55146.15284905484,51635.67282662442,2,DEFENSIVE,0
2025-06-26 00:00:00+00:00,55199.5527695184,51635.67282662442,2,DEFENSIVE,0
