date,total_value,cash,positions,mode,partial_exits_active
2024-10-22 00:00:00+00:00,100049.86391910123,84620.95353158521,2,BALANCED,0
2024-10-23 00:00:00+00:00,97103.81199401425,87507.0520853381,2,BALANCED,1
2024-10-24 00:00:00+00:00,94812.59497426938,85241.1952011485,2,BALANCED,1
2024-10-25 00:00:00+00:00,92477.68987788724,83024.46996964978,2,BALANCED,1
2024-10-28 00:00:00+00:00,90285.97968083524,80880.16950350904,2,BALANCED,1
2024-10-30 00:00:00+00:00,88172.09582871199,78827.27574795485,2,BALANCED,1
2024-10-31 00:00:00+00:00,87614.35402951382,82225.05408320569,2,DEFENSIVE,0
2024-11-01 00:00:00+00:00,85355.7025943694,79674.99251136159,2,BALANCED,1
2024-11-04 00:00:00+00:00,84655.82578721618,79628.03567996596,2,DEFENSIVE,0
2024-11-05 00:00:00+00:00,83736.33251973438,80855.17252847004,2,DEFENSIVE,1
2024-11-06 00:00:00+00:00,83386.39593896436,78366.29584321546,2,DEFENSIVE,0
2024-11-07 00:00:00+00:00,82547.11687920475,79651.96686861897,2,DEFENSIVE,1
2024-11-08 00:00:00+00:00,82321.62135916139,77250.62137632753,2,DEFENSIVE,0
2024-11-11 00:00:00+00:00,81483.02760611728,78566.54753791049,2,DEFENSIVE,1
2024-11-12 00:00:00+00:00,81109.73450257636,76187.34439995147,2,DEFENSIVE,0
2024-11-13 00:00:00+00:00,80344.22145823194,77465.6914666052,2,DEFENSIVE,1
2024-11-14 00:00:00+00:00,80093.66437938357,75170.61431791926,2,DEFENSIVE,0
2024-11-15 00:00:00+00:00,79372.45664602853,76489.17659479714,2,DEFENSIVE,1
2024-11-18 00:00:00+00:00,79069.08979926493,74210.19973502542,2,DEFENSIVE,0
2024-11-19 00:00:00+00:00,78384.14492173817,75547.97489472058,2,DEFENSIVE,1
2024-11-20 00:00:00+00:00,77949.46221452716,73251.00230985644,2,DEFENSIVE,0
2024-11-21 00:00:00+00:00,77405.02526704839,74572.73528949788,2,DEFENSIVE,1
2024-11-22 00:00:00+00:00,77708.27358416465,72530.09365395454,2,DEFENSIVE,0
2024-11-25 00:00:00+00:00,77175.6291391082,74144.91921679451,2,DEFENSIVE,1
2024-11-26 00:00:00+00:00,77469.71610506966,72175.83616312935,2,DEFENSIVE,0
2024-11-27 00:00:00+00:00,76857.79142838814,73823.55151063301,2,DEFENSIVE,1
