time,portfolio_value,cash,positions
2020-11-20 00:00:00+00:00,49919.7911012392,9815.341720841401,10
2020-12-04 00:00:00+00:00,53076.1290264492,14488.918720758427,10
2020-12-18 00:00:00+00:00,56721.9234670701,17282.336450010767,10
2021-01-04 00:00:00+00:00,58692.37099266814,18807.82335902022,10
2021-01-18 00:00:00+00:00,61577.85505510711,20826.128707660664,10
2021-02-01 00:00:00+00:00,62351.82790941571,18428.39118475293,10
2021-02-15 00:00:00+00:00,63814.63137020873,19094.04091515349,10
2021-03-01 00:00:00+00:00,62157.401268675305,17317.15319271324,10
2021-03-15 00:00:00+00:00,64325.90028202722,21254.988555075623,10
2021-03-29 00:00:00+00:00,60077.78974881753,20755.2575270234,10
2021-04-12 00:00:00+00:00,59900.906936507316,21270.98305670509,10
2021-04-27 00:00:00+00:00,61783.484420599314,22850.982647420733,10
2021-05-11 00:00:00+00:00,63247.34544184575,22990.582784322592,10
2021-05-28 00:00:00+00:00,62479.22214149055,23506.4106802207,10
2021-06-11 00:00:00+00:00,64286.47314957247,23948.092717085936,10
2021-06-25 00:00:00+00:00,62625.69921649943,21947.36742140303,10
2021-07-09 00:00:00+00:00,60966.11516596208,21217.745101465087,10
2021-07-30 00:00:00+00:00,61268.697666190856,20869.28268446802,10
2021-08-13 00:00:00+00:00,61429.202684887874,21205.954204091064,10
2021-08-27 00:00:00+00:00,61608.07478616356,21353.503169037096,10
2021-09-13 00:00:00+00:00,61168.126590328444,20405.98640044235,10
2021-09-27 00:00:00+00:00,60354.294600136986,19346.548602708095,10
2021-10-11 00:00:00+00:00,59443.37245396088,18888.623961362347,10
2021-10-25 00:00:00+00:00,59511.57807239078,18708.254166565162,10
2021-11-09 00:00:00+00:00,63802.01518306921,22244.91666660498,10
2021-11-23 00:00:00+00:00,68371.30191765592,23839.449269874553,10
2021-12-07 00:00:00+00:00,73088.82835390756,26142.290234114625,10
2021-12-21 00:00:00+00:00,68730.28620916174,22009.284594829536,10
2022-01-04 00:00:00+00:00,71259.09714432142,24352.26151986501,10
2022-01-18 00:00:00+00:00,70640.71269735333,24978.250045862173,10
2022-02-01 00:00:00+00:00,72786.49959168861,27097.102861265637,10
2022-02-15 00:00:00+00:00,72405.01006841121,26217.41529333053,10
2022-03-01 00:00:00+00:00,72035.56184352719,24068.654988897673,10
2022-03-15 00:00:00+00:00,74281.7438515905,27992.172205853807,10
2022-03-29 00:00:00+00:00,77269.12245770203,28600.341457087863,10
2022-04-12 00:00:00+00:00,81784.97478033316,31567.205587279906,10
2022-04-26 00:00:00+00:00,81968.58800821744,32055.77795153104,10
2022-05-13 00:00:00+00:00,83922.85177239907,31688.70647391807,10
2022-05-30 00:00:00+00:00,84481.55439393365,32323.097895072344,10
2022-06-13 00:00:00+00:00,85116.38559415995,33390.76566341578,10
2022-06-27 00:00:00+00:00,86600.74128637396,34612.45973298632,10
2022-07-13 00:00:00+00:00,91336.56132553541,37539.761218771564,10
2022-07-28 00:00:00+00:00,92344.72993471252,39830.20950510131,10
2022-08-11 00:00:00+00:00,97201.6833078066,41048.78259746228,10
2022-08-25 00:00:00+00:00,98014.5476252886,41979.252107128734,10
2022-09-09 00:00:00+00:00,102687.73475019037,46620.43805638849,10
2022-09-23 00:00:00+00:00,102215.74478143417,44188.24474495613,10
