symbol,entry_time,exit_time,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,entry_score,confirmations
SISE,2021-10-22 00:00:00+00:00,2021-11-17 00:00:00+00:00,8.37452507019043,10.218097686767578,686,1239.181736549377,0.2152697367717524,TAKE_PROFIT,0.75312330418325,lorentzian
GESAN,2021-11-19 00:00:00+00:00,2021-11-24 00:00:00+00:00,6.369999885559082,5.849999904632568,879,-478.56274286556254,-0.08529878865316338,STOP_LOSS,0.682425483132722,macd
TAVHL,2021-12-03 00:00:00+00:00,2021-12-08 00:00:00+00:00,31.959999084472656,38.5,174,1113.4400796203608,0.1998219175124941,TAKE_PROFIT,0.6818713915760977,macd
KARSN,2022-02-21 00:00:00+00:00,2022-02-24 00:00:00+00:00,3.990000009536743,3.5999999046325684,1385,-561.1744450545311,-0.10134620577493327,STOP_LOSS,0.7704054981230497,"macd,lorentzian"
AKSA,2022-02-18 00:00:00+00:00,2022-03-25 00:00:00+00:00,2.701979398727417,3.4072580337524414,1993,1381.268899199009,0.25598892681148416,TAKE_PROFIT,0.704601596827615,lorentzian
KRDMD,2022-03-02 00:00:00+00:00,2022-04-01 00:00:00+00:00,12.859999656677246,15.600000381469728,388,1041.035321189881,0.20822125549416384,TAKE_PROFIT,0.6840494214551959,macd
SAHOL,2022-03-14 00:00:00+00:00,2022-04-11 00:00:00+00:00,14.135876655578612,18.38060569763184,361,1508.870283922197,0.2950898251478024,TAKE_PROFIT,0.7395120941486213,"macd,lorentzian"
BIMAS,2022-02-15 00:00:00+00:00,2022-04-26 00:00:00+00:00,69.58451843261719,76.42284393310547,82,536.7974836120611,0.09388933679995222,PRIMARY_EXIT,0.7066563443644233,lorentzian
ISFIN,2022-07-20 00:00:00+00:00,2022-08-04 00:00:00+00:00,3.690000057220459,4.440000057220459,1533,1124.823419649124,0.198448628053672,TAKE_PROFIT,0.7247534899108005,lorentzian
BIMAS,2022-06-02 00:00:00+00:00,2022-08-11 00:00:00+00:00,81.320556640625,104.35363006591795,72,1631.6442037353509,0.27811531305291076,TAKE_PROFIT,0.6865419891711225,lorentzian
ANSGR,2022-07-28 00:00:00+00:00,2022-08-22 00:00:00+00:00,5.929629325866699,7.136629581451416,809,955.3219998559953,0.1987494751478668,TAKE_PROFIT,0.6313528435800827,lorentzian
ALGYO,2022-07-22 00:00:00+00:00,2022-08-29 00:00:00+00:00,7.986666202545166,7.991110801696777,631,-17.359412514686483,-0.0034377351043643383,PRIMARY_EXIT,0.6199758225847365,lorentzian
ISGYO,2022-09-12 00:00:00+00:00,2022-09-14 00:00:00+00:00,19.200000762939453,17.25,297,-600.8015270462038,-0.10514911240448693,STOP_LOSS,0.6713323321242682,macd
OYAKC,2022-08-15 00:00:00+00:00,2022-09-21 00:00:00+00:00,3.6487181186676025,3.584614992141724,1524,-119.74036414718557,-0.02149055209628068,PRIMARY_EXIT,0.7157250578423437,lorentzian
AKSEN,2022-09-22 00:00:00+00:00,2022-10-04 00:00:00+00:00,32.65999984741211,40.59999847412109,189,1472.9674610824577,0.23814827987861187,TAKE_PROFIT,0.7293428369538075,lorentzian
ISCTR,2022-10-17 00:00:00+00:00,2022-11-03 00:00:00+00:00,3.75600004196167,3.4800000190734863,1545,-448.7792755508426,-0.07718110630845038,PRIMARY_EXIT,0.5927087507222162,lorentzian
KRDMD,2022-11-07 00:00:00+00:00,2022-11-09 00:00:00+00:00,13.850000381469728,12.600000381469728,426,-555.0354006500247,-0.09388443082356465,STOP_LOSS,0.7344501638362232,lorentzian
HALKB,2022-10-19 00:00:00+00:00,2022-11-16 00:00:00+00:00,8.520000457763672,10.279999732971191,696,1198.789895278931,0.20175601640436994,TAKE_PROFIT,0.7307786589433385,lorentzian
SNGYO,2022-12-13 00:00:00+00:00,2023-01-05 00:00:00+00:00,1.3612500429153442,1.2262500524520874,4683,-656.4394812326436,-0.10276965718500615,STOP_LOSS,0.6699179526271488,"adx_di,lorentzian"
TAVHL,2023-03-07 00:00:00+00:00,2023-03-28 00:00:00+00:00,81.80000305175781,72.4000015258789,73,-708.7133120574954,-0.11844771548391597,STOP_LOSS,0.6709249144237847,lorentzian
HALKB,2023-04-19 00:00:00+00:00,2023-04-25 00:00:00+00:00,12.550000190734863,11.3100004196167,456,-587.200216186523,-0.10240234692114618,STOP_LOSS,0.586002509686768,lorentzian
AGESA,2023-05-11 00:00:00+00:00,2023-05-15 00:00:00+00:00,30.84000015258789,27.700000762939453,196,-638.3875607299806,-0.10540136896648836,STOP_LOSS,0.722752104158735,"macd,lorentzian"
GARAN,2023-05-11 00:00:00+00:00,2023-05-16 00:00:00+00:00,29.838985443115234,25.764816284179688,221,-924.9682644882205,-0.13998541354293909,STOP_LOSS,0.7691060591971686,"macd,lorentzian"
THYAO,2023-05-26 00:00:00+00:00,2023-06-07 00:00:00+00:00,142.3000030517578,172.5,42,1241.9566715698247,0.207388429802192,TAKE_PROFIT,0.7427335781177843,lorentzian
TKFEN,2023-05-30 00:00:00+00:00,2023-06-09 00:00:00+00:00,30.71999931335449,37.13999938964844,174,1093.4647337265023,0.20415809719599065,TAKE_PROFIT,0.7207419725403268,lorentzian
PETKM,2023-05-30 00:00:00+00:00,2023-06-19 00:00:00+00:00,14.100000381469728,13.90999984741211,316,-77.74248890686158,-0.017413437512167156,PRIMARY_EXIT,0.5938558951435834,lorentzian
KARSN,2023-05-30 00:00:00+00:00,2023-06-19 00:00:00+00:00,8.8100004196167,8.710000038146973,478,-64.54930278015127,-0.015297484027782776,PRIMARY_EXIT,0.5901953472821867,lorentzian
ALGYO,2023-06-01 00:00:00+00:00,2023-06-19 00:00:00+00:00,13.55555534362793,13.029999732971191,302,-174.77546968460092,-0.04260774000130707,PRIMARY_EXIT,0.6381966822942612,lorentzian
SISE,2023-05-30 00:00:00+00:00,2023-06-21 00:00:00+00:00,42.13999938964844,39.63999938964844,120,-319.62719970703074,-0.0630812422648137,PRIMARY_EXIT,0.720023617629437,lorentzian
MAVI,2023-06-05 00:00:00+00:00,2023-06-26 00:00:00+00:00,15.199999809265137,18.487499237060547,265,853.3329738712314,0.21142743920776846,TAKE_PROFIT,0.7133985564382979,lorentzian
TAVHL,2023-05-30 00:00:00+00:00,2023-06-27 00:00:00+00:00,77.44999694824219,93.3499984741211,76,1182.438516662597,0.20048221372723862,TAKE_PROFIT,0.7857568985420453,lorentzian
AKSA,2023-09-07 00:00:00+00:00,2023-09-29 00:00:00+00:00,6.659640789031982,8.156768798828125,919,1348.6280801801686,0.2199166749226874,TAKE_PROFIT,0.6812537676381784,lorentzian
GESAN,2023-09-26 00:00:00+00:00,2023-10-09 00:00:00+00:00,103.0999984741211,91.8499984741211,58,-675.1141996459955,-0.1126737811105904,STOP_LOSS,0.7529806217643255,trend_vanguard
ECILC,2023-11-24 00:00:00+00:00,2023-12-04 00:00:00+00:00,49.20993423461914,44.90529251098633,125,-561.6090221405029,-0.09111786955473772,STOP_LOSS,0.6922919539556238,lorentzian
ALKIM,2023-12-05 00:00:00+00:00,2023-12-11 00:00:00+00:00,20.200000762939453,18.51000022888184,269,-475.4361241950983,-0.08732141999600102,STOP_LOSS,0.564869301117748,lorentzian
SASA,2023-11-28 00:00:00+00:00,2023-12-13 00:00:00+00:00,6.137499809265137,5.377500057220459,922,-721.9534311389916,-0.1273265731041926,STOP_LOSS,0.6319613030307579,lorentzian
AKSA,2023-12-28 00:00:00+00:00,2024-01-19 00:00:00+00:00,7.54918098449707,6.925707817077637,815,-531.7247001934047,-0.08625050915489871,STOP_LOSS,0.7106566095279923,lorentzian
GUBRF,2024-02-08 00:00:00+00:00,2024-02-13 00:00:00+00:00,158.0,197.8000030517578,38,1485.3593157348632,0.2469011536777982,TAKE_PROFIT,0.7248770463331162,"adx_di,lorentzian"
DOAS,2023-12-29 00:00:00+00:00,2024-03-01 00:00:00+00:00,246.2603302001953,252.9678192138672,25,142.72581787109357,0.02313664338601336,PRIMARY_EXIT,0.7896183246166217,"adx_di,lorentzian"
IZMDC,2024-03-29 00:00:00+00:00,2024-04-02 00:00:00+00:00,7.099999904632568,6.400000095367432,862,-626.6738355865482,-0.10218996078690822,STOP_LOSS,0.6818732569002983,lorentzian
HALKB,2024-09-05 00:00:00+00:00,2024-09-10 00:00:00+00:00,17.450000762939453,15.9399995803833,358,-564.4876636009212,-0.09017959006363356,STOP_LOSS,0.7348246219848072,lorentzian
ISFIN,2024-10-30 00:00:00+00:00,2024-11-04 00:00:00+00:00,11.710000038146973,10.710000038146973,524,-547.4961600799561,-0.08904820561685123,STOP_LOSS,0.7073127935973661,lorentzian
SASA,2024-11-22 00:00:00+00:00,2024-12-20 00:00:00+00:00,4.170000076293945,4.039999961853027,1121,-164.13694837379444,-0.03504265134917757,PRIMARY_EXIT,0.5332249695487387,lorentzian
EREGL,2024-11-08 00:00:00+00:00,2024-12-23 00:00:00+00:00,25.549999237060547,24.959999084472656,235,-162.38973506927505,-0.02699181558078617,PRIMARY_EXIT,0.6811618300947906,lorentzian
INDES,2024-11-11 00:00:00+00:00,2025-01-06 00:00:00+00:00,6.650000095367432,8.029999732971191,828,1118.3296202201836,0.20269830543088307,TAKE_PROFIT,0.6213604377434917,adx_di
KOZAA,2024-12-31 00:00:00+00:00,2025-01-13 00:00:00+00:00,74.25,68.0999984741211,74,-476.1679126892086,-0.08648966743720833,STOP_LOSS,0.715331897975493,macd
SAHOL,2024-11-22 00:00:00+00:00,2025-02-03 00:00:00+00:00,88.42694091796875,92.7181167602539,62,243.59091506957975,0.0443421834900616,PRIMARY_EXIT,0.7250190144464292,lorentzian
OTKAR,2025-03-05 00:00:00+00:00,2025-03-17 00:00:00+00:00,420.0,505.5,12,1003.7880000000005,0.1987667522098661,TAKE_PROFIT,0.7026760744636339,lorentzian
GARAN,2025-03-03 00:00:00+00:00,2025-03-19 00:00:00+00:00,137.5,125.3000030517578,44,-559.926265991212,-0.09236506589980567,STOP_LOSS,0.7118473203094017,macd
GUBRF,2025-03-04 00:00:00+00:00,2025-03-19 00:00:00+00:00,288.5,279.0,20,-212.69999999999982,-0.036789505910189986,PRIMARY_EXIT,0.7281775808938569,lorentzian
SAHOL,2025-03-05 00:00:00+00:00,2025-03-19 00:00:00+00:00,103.08441162109376,91.56094360351562,53,-631.37621258545,-0.11533247927140106,STOP_LOSS,0.7124777192046736,lorentzian
ALKIM,2025-03-10 00:00:00+00:00,2025-03-19 00:00:00+00:00,17.799999237060547,15.890000343322754,240,-474.5709342956543,-0.11086697266436323,STOP_LOSS,0.6750778100968511,lorentzian
DOHOL,2025-03-06 00:00:00+00:00,2025-03-21 00:00:00+00:00,14.520000457763672,13.550000190734863,337,-345.80927042579697,-0.07052975563853527,PRIMARY_EXIT,0.7098720880140381,lorentzian
PETKM,2025-03-06 00:00:00+00:00,2025-03-21 00:00:00+00:00,17.549999237060547,15.8100004196167,257,-464.32673590660124,-0.102741462675759,STOP_LOSS,0.6721217272776528,adx_di
AGHOL,2025-05-12 00:00:00+00:00,2025-05-22 00:00:00+00:00,305.5,279.0,19,-525.7110000000002,-0.09038878054039225,STOP_LOSS,0.7737983860767645,adx_di
PETKM,2025-05-12 00:00:00+00:00,2025-05-28 00:00:00+00:00,17.889999389648438,16.450000762939453,305,-460.14698123931885,-0.08416251223018571,STOP_LOSS,0.7345148905366159,lorentzian
BIMAS,2025-05-07 00:00:00+00:00,2025-06-18 00:00:00+00:00,486.1033935546875,481.5,12,-78.46320410156204,-0.01342420013896916,PRIMARY_EXIT,0.7749891223671047,lorentzian
KOZAA,2025-06-12 00:00:00+00:00,2025-06-18 00:00:00+00:00,92.3499984741211,84.5999984741211,54,-437.61059967041,-0.08757687794735873,STOP_LOSS,0.706604987233911,lorentzian
GARAN,2025-05-13 00:00:00+00:00,2025-06-26 00:00:00+00:00,109.6999969482422,118.8000030517578,49,423.5072990722638,0.0786303995832987,END_TEST,,"adx_di,lorentzian"
ASELS,2025-06-12 00:00:00+00:00,2025-06-26 00:00:00+00:00,144.6999969482422,140.3000030517578,37,-183.88977416992202,-0.034278326562512486,END_TEST,,lorentzian
ARCLK,2025-06-24 00:00:00+00:00,2025-06-26 00:00:00+00:00,117.1999969482422,120.0,42,97.67532843017489,0.019803423174277964,END_TEST,,adx_di
