symbol,entry_time,exit_time,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,entry_score,holding_periods
EGEEN,2020-11-20 00:00:00+00:00,2020-11-24 00:00:00+00:00,1241.87255859375,1504.211669921875,4,1027.3877714843748,0.20640948424910213,TAKE_PROFIT,0.6645532635760589,2.0
KONYA,2020-11-20 00:00:00+00:00,2020-11-24 00:00:00+00:00,980.4000244140624,1186.199951171875,5,1007.3336340332044,0.20508424378261786,TAKE_PROFIT,0.5793278146422198,2.0
OTKAR,2020-11-20 00:00:00+00:00,2020-12-02 00:00:00+00:00,36.68558883666992,44.25648880004883,88,651.9933911132812,0.20155673080017736,TAKE_PROFIT,0.48116222288582616,8.0
EREGL,2020-11-20 00:00:00+00:00,2020-12-09 00:00:00+00:00,4.928494930267334,5.919409275054932,829,803.4821666564944,0.1962635616199377,TAKE_PROFIT,0.5146261096791305,13.0
DOHOL,2020-11-20 00:00:00+00:00,2020-12-09 00:00:00+00:00,2.454561233520508,2.9798567295074463,1577,811.2508429160116,0.20916156147542797,TAKE_PROFIT,0.5108905769754395,13.0
KOZAL,2020-11-20 00:00:00+00:00,2020-12-21 00:00:00+00:00,3.734815835952759,3.791119575500488,1234,50.90480600643059,0.011023175298010052,TIME_EXIT,0.5420394895432338,21.0
ISDMR,2020-11-20 00:00:00+00:00,2020-12-22 00:00:00+00:00,6.190571308135986,7.496974945068359,696,890.2038669204712,0.2061967352773841,TAKE_PROFIT,0.5171395618288246,22.0
KARTN,2020-12-21 00:00:00+00:00,2020-12-22 00:00:00+00:00,98.23234558105467,88.40947723388672,62,-632.1614235534662,-0.10358910124585627,STOP_LOSS,1.700251124992306,1.0
HEKTS,2020-11-24 00:00:00+00:00,2020-12-24 00:00:00+00:00,0.7139359712600708,0.8670759797096252,5436,815.2803240008357,0.20965273262369977,TAKE_PROFIT,0.6403016056181644,22.0
KARTN,2020-12-24 00:00:00+00:00,2020-12-28 00:00:00+00:00,81.62857055664062,99.22723388671876,64,1103.1649101562516,0.2107417355299517,TAKE_PROFIT,1.2426157052247628,2.0
ISGYO,2020-11-24 00:00:00+00:00,2020-12-31 00:00:00+00:00,2.0999999046325684,2.539999961853028,1730,745.1456994533546,0.2046954077786361,TAKE_PROFIT,0.6220078054613906,27.0
KOZAA,2020-11-20 00:00:00+00:00,2021-01-04 00:00:00+00:00,13.6899995803833,16.540000915527344,219,610.9095521793365,0.20335817916069793,TAKE_PROFIT,0.4327791657022663,30.0
KARTN,2020-12-31 00:00:00+00:00,2021-01-04 00:00:00+00:00,91.7899932861328,83.63301849365234,47,-399.8675783538811,-0.09250288439717372,STOP_LOSS,0.8215979806601144,1.0
FROTO,2020-11-20 00:00:00+00:00,2021-01-11 00:00:00+00:00,11.330327987670898,14.319607734680176,306,899.0218419227599,0.2587847101572528,TAKE_PROFIT,0.5007688487983261,35.0
KONYA,2020-12-22 00:00:00+00:00,2021-01-14 00:00:00+00:00,1157.0,1421.800048828125,4,1038.5697949218747,0.2239621437595584,TAKE_PROFIT,1.0322709566085453,16.0
ALGYO,2020-12-22 00:00:00+00:00,2021-01-25 00:00:00+00:00,5.035554885864258,6.111111164093018,777,818.3853091421124,0.20874772467079858,TAKE_PROFIT,0.6520384524760071,23.0
AKSEN,2021-01-04 00:00:00+00:00,2021-01-25 00:00:00+00:00,3.84037184715271,5.0208940505981445,1164,1353.4988178005224,0.30217873695795394,TAKE_PROFIT,0.7685831873471094,15.0
