symbol,entry_time,exit_time,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason
AKBNK,2025-06-20 10:45:00+00:00,2025-06-20 13:30:00+00:00,58.4,57.9,85,-42.5,-0.008561643835616438,SIGNAL
AKBNK,2025-06-23 10:45:00+00:00,2025-06-25 13:15:00+00:00,57.2,60.55,87,291.4499999999989,0.05856643356643334,SIGNAL
AKBNK,2025-06-26 10:00:00+00:00,2025-06-27 10:00:00+00:00,61.35,60.65,81,-56.70000000000073,-0.011409942950285395,SIGNAL
AKBNK,2025-06-27 13:45:00+00:00,2025-06-27 18:00:00+00:00,60.9,62.0,82,90.19999999999982,0.018062397372742164,END_TEST
ARCLK,2025-06-19 18:00:00+00:00,2025-06-20 13:45:00+00:00,111.1,110.9,45,-9.0,-0.0018001800180018,SIGNAL
ARCLK,2025-06-23 12:15:00+00:00,2025-06-25 17:30:00+00:00,109.8,117.0,45,324.0,0.06557377049180328,SIGNAL
ARCLK,2025-06-26 10:15:00+00:00,2025-06-27 08:00:00+00:00,118.5,118.4,42,-4.199999999999818,-0.0008438818565400479,SIGNAL
ARCLK,2025-06-27 10:00:00+00:00,2025-06-27 12:15:00+00:00,120.0,118.8,42,-50.400000000000546,-0.010000000000000108,SIGNAL
ARCLK,2025-06-27 15:30:00+00:00,2025-06-27 18:00:00+00:00,120.0,120.1,42,4.199999999999818,0.0008333333333332973,END_TEST
ASELS,2025-06-20 10:30:00+00:00,2025-06-23 11:00:00+00:00,145.4,145.5,34,3.399999999999636,0.0006877579092158824,SIGNAL
ASELS,2025-06-23 16:45:00+00:00,2025-06-24 10:45:00+00:00,146.4,140.8,34,-190.39999999999964,-0.038251366120218504,SIGNAL
ASELS,2025-06-24 16:15:00+00:00,2025-06-26 10:15:00+00:00,141.5,146.7,35,182.0,0.03674911660777385,SIGNAL
ASELS,2025-06-27 07:00:00+00:00,2025-06-27 10:15:00+00:00,144.6,144.1,34,-17.0,-0.0034578146611341635,SIGNAL
ASELS,2025-06-27 10:30:00+00:00,2025-06-27 18:00:00+00:00,144.6,146.5,34,64.60000000000036,0.013139695712309895,END_TEST
BIMAS,2025-06-20 09:45:00+00:00,2025-06-20 12:15:00+00:00,486.0,477.5,10,-85.0,-0.01748971193415638,SIGNAL
BIMAS,2025-06-23 17:45:00+00:00,2025-06-26 11:30:00+00:00,456.5,471.25,11,162.25,0.03231106243154436,SIGNAL
BIMAS,2025-06-27 14:30:00+00:00,2025-06-27 15:45:00+00:00,468.5,467.75,10,-7.5,-0.0016008537886872999,END_TEST
DOHOL,2025-06-20 10:00:00+00:00,2025-06-20 14:00:00+00:00,14.62,14.4,346,-76.11999999999898,-0.015047879616962865,SIGNAL
DOHOL,2025-06-23 11:45:00+00:00,2025-06-24 11:45:00+00:00,14.37,14.62,352,88.0,0.017397355601948505,SIGNAL
DOHOL,2025-06-24 15:30:00+00:00,2025-06-26 15:00:00+00:00,14.81,15.08,342,92.33999999999924,0.018230925050641306,SIGNAL
DOHOL,2025-06-27 11:30:00+00:00,2025-06-27 12:45:00+00:00,14.84,14.87,342,10.260000000000218,0.0020215633423181023,END_TEST
EKGYO,2025-06-20 09:45:00+00:00,2025-06-26 11:15:00+00:00,14.66,16.64,346,685.0800000000008,0.13506139154161,SIGNAL
EKGYO,2025-06-26 14:15:00+00:00,2025-06-27 09:00:00+00:00,16.72,16.31,307,-125.8700000000008,-0.024521531100478625,SIGNAL
EKGYO,2025-06-27 11:00:00+00:00,2025-06-27 12:45:00+00:00,16.49,16.74,311,77.75,0.01516070345664039,END_TEST
EREGL,2025-06-20 14:00:00+00:00,2025-06-23 18:00:00+00:00,25.74,25.92,199,35.82000000000062,0.006993006993007114,SIGNAL
EREGL,2025-06-24 09:45:00+00:00,2025-06-24 17:30:00+00:00,26.66,26.14,192,-99.84000000000015,-0.019504876219054793,SIGNAL
EREGL,2025-06-27 11:00:00+00:00,2025-06-27 18:00:00+00:00,25.64,25.82,200,36.0,0.0070202808112324495,END_TEST
GARAN,2025-06-10 01:09:39.315953+00:00,2025-06-14 01:09:39.315953+00:00,93.79,86.12,54,-414.1800000000003,-0.08177844119842205,STOP_LOSS
THYAO,2025-06-10 01:09:39.291060+00:00,2025-06-12 23:36:38.535155+00:00,105.6,96.95,48,-415.1999999999989,-0.08191287878787859,STOP_LOSS
