time,portfolio_value,cash,positions
2022-09-14 08:00:00+00:00,49917.7989637273,8817.280827374998,10
2022-09-19 12:00:00+00:00,48551.33770166332,8298.852733984531,10
2022-09-23 04:00:00+00:00,50020.89634872967,8298.852733984531,10
2022-09-28 08:00:00+00:00,49714.04673297984,11517.114711212937,10
2022-10-03 12:00:00+00:00,50488.552687714815,12785.191798995258,10
2022-10-07 04:00:00+00:00,53258.45287802053,13762.170049689532,10
2022-10-12 08:00:00+00:00,53099.71203192067,16195.64828260732,10
2022-10-17 12:00:00+00:00,57910.56583753515,18477.382182273155,10
2022-10-21 04:00:00+00:00,58621.99350741124,17784.898791816002,10
2022-10-26 08:00:00+00:00,58394.27164193177,17745.198120317702,10
2022-11-01 04:00:00+00:00,60393.730828569656,19080.651557253128,10
2022-11-04 08:00:00+00:00,61706.78600137377,21817.348551322466,10
2022-11-09 12:00:00+00:00,62248.87150307465,20835.29299100209,10
2022-11-15 04:00:00+00:00,63652.14722430707,20533.85368812085,10
2022-11-18 08:00:00+00:00,63577.871770143516,20533.85368812085,10
2022-11-23 12:00:00+00:00,66483.77103862978,23805.984709360375,10
2022-11-29 04:00:00+00:00,67362.27332813479,23602.318529436357,10
2022-12-02 08:00:00+00:00,68787.46910239267,23897.16247690726,10
2022-12-07 12:00:00+00:00,66488.27904321719,23601.788958449855,10
2022-12-13 04:00:00+00:00,70170.6208187461,24032.907984626305,10
2022-12-16 08:00:00+00:00,69706.24749165203,23883.75225513602,10
2022-12-21 12:00:00+00:00,70222.40498083258,23883.75225513602,10
2022-12-27 04:00:00+00:00,71065.38596725321,27035.849539159302,10
2022-12-30 08:00:00+00:00,71838.66865751697,30064.96950325919,9
2023-01-04 12:00:00+00:00,73690.42596324589,26738.781307660596,10
2023-01-10 04:00:00+00:00,69132.15595455434,26985.51170475747,10
2023-01-13 08:00:00+00:00,67103.33432470633,27975.211561072603,10
2023-01-18 12:00:00+00:00,68899.01364485099,28102.276915229097,10
2023-01-24 04:00:00+00:00,67492.87052148844,25660.53069299723,10
2023-01-27 08:00:00+00:00,65823.01596309687,25525.364836235298,10
2023-02-01 12:00:00+00:00,62298.36612970473,26062.528649398104,10
2023-02-07 04:00:00+00:00,62044.111928688784,25147.691649185912,10
2023-02-16 12:00:00+00:00,138120.51162807824,84062.62768678546,10
2023-02-22 04:00:00+00:00,140271.0784345789,80293.05330716801,10
2023-02-27 08:00:00+00:00,140277.34915911965,75226.71050298026,10
2023-03-02 12:00:00+00:00,137864.79142991354,34665.27853194526,10
2023-03-08 04:00:00+00:00,134715.44572980405,38433.599283289936,10
2023-03-13 08:00:00+00:00,135133.54288648558,36886.759544839406,10
2023-03-16 12:00:00+00:00,131108.8836687956,37650.46519984342,10
2023-03-22 04:00:00+00:00,128165.3278557005,40765.068657034884,10
2023-03-27 08:00:00+00:00,132848.1296262112,38835.320927557004,10
2023-03-30 12:00:00+00:00,126467.55457395366,71675.16994375041,10
2023-04-05 04:00:00+00:00,127236.40286659531,64256.410602801356,10
2023-04-10 08:00:00+00:00,128546.4863171766,62812.53362514474,10
2023-04-13 12:00:00+00:00,129928.0445277727,63932.048353914055,10
2023-04-19 04:00:00+00:00,129032.24882605317,65828.36263563874,10
2023-04-25 12:00:00+00:00,127634.23436009076,65939.82802235273,10
2023-05-02 04:00:00+00:00,121680.2743284097,62612.99884670879,10
