symbol,action,shares,entry_price,cost,stop_loss,mode,timestamp,reasons,date,exit_price,pnl,pnl_pct,exit_reason
EGEEN,BUY,1,7075.0,7089.15,6721.25,BALANCED,2025-06-26 00:00:00+00:00,"['strong_trend', 'ml_1']",2024-10-22 00:00:00+00:00,,,,
EREGL,BUY,336,25.520000457763672,8591.869594116211,24.24400043487549,BALANCED,2025-06-26 00:00:00+00:00,"['strong_trend', 'ml_1']",2024-10-22 00:00:00+00:00,,,,
AGHOL,BUY,28,244.0,6845.664,231.79999999999998,BALANCED,2025-06-26 00:00:00+00:00,"['strong_trend', 'ml_1']",2024-10-22 00:00:00+00:00,,,,
ENKAI,BUY,86,63.70000076293945,5489.1564657440185,60.51500072479248,BALANCED,2025-06-26 00:00:00+00:00,"['strong_trend', 'ml_1']",2024-10-22 00:00:00+00:00,,,,
AKBNK,BUY,72,60.79999923706055,4386.355144958496,57.75999927520752,BALANCED,2025-06-26 00:00:00+00:00,"['strong_trend', 'ml_1']",2024-10-22 00:00:00+00:00,,,,
EREGL,SELL,336,25.520000457763672,,,BALANCED,2024-10-23 00:00:00+00:00,,2024-10-23 00:00:00+00:00,23.100000381469727,-845.7926661987312,-0.0948275874955063,stop_loss
ENKAI,SELL,86,63.70000076293945,,,BALANCED,2024-10-23 00:00:00+00:00,,2024-10-23 00:00:00+00:00,45.666873931884766,-1569.6600099182128,-0.28309460934176833,stop_loss
AKBNK,SELL,72,60.79999923706055,,,BALANCED,2024-10-23 00:00:00+00:00,,2024-10-23 00:00:00+00:00,48.04813003540039,-933.8087131347652,-0.20973469344860243,stop_loss
EREGL,BUY,269,25.520000457763672,6878.6098833847045,24.24400043487549,BALANCED,2025-06-26 00:00:00+00:00,"['strong_trend', 'ml_1']",2024-10-23 00:00:00+00:00,,,,
ENKAI,BUY,86,63.70000076293945,5489.1564657440185,60.51500072479248,BALANCED,2025-06-26 00:00:00+00:00,"['strong_trend', 'ml_1']",2024-10-23 00:00:00+00:00,,,,
AKBNK,BUY,72,60.79999923706055,4386.355144958496,57.75999927520752,BALANCED,2025-06-26 00:00:00+00:00,"['strong_trend', 'ml_1']",2024-10-23 00:00:00+00:00,,,,
EREGL,SELL,269,25.520000457763672,,,BALANCED,2024-10-24 00:00:00+00:00,,2024-10-24 00:00:00+00:00,23.31999969482422,-618.0761253128048,-0.0862069249011385,stop_loss
ENKAI,SELL,86,63.70000076293945,,,BALANCED,2024-10-24 00:00:00+00:00,,2024-10-24 00:00:00+00:00,46.77124786376953,-1474.8738040924072,-0.26575749915876046,stop_loss
AKBNK,SELL,72,60.79999923706055,,,BALANCED,2024-10-24 00:00:00+00:00,,2024-10-24 00:00:00+00:00,48.59591293334961,-894.4472252197261,-0.20072510619822434,stop_loss
EREGL,BUY,257,25.520000457763672,6571.757397880554,24.24400043487549,BALANCED,2025-06-26 00:00:00+00:00,"['strong_trend', 'ml_1']",2024-10-24 00:00:00+00:00,,,,
ENKAI,BUY,82,63.70000076293945,5233.846862686157,60.51500072479248,BALANCED,2025-06-26 00:00:00+00:00,"['strong_trend', 'ml_1']",2024-10-24 00:00:00+00:00,,,,
AKBNK,BUY,69,60.79999923706055,4203.590347251892,57.75999927520752,BALANCED,2025-06-26 00:00:00+00:00,"['strong_trend', 'ml_1']",2024-10-24 00:00:00+00:00,,,,
EGEEN,SELL,1,7075.0,,,BALANCED,2024-10-25 00:00:00+00:00,,2024-10-25 00:00:00+00:00,10069.62890625,2960.3396484375007,0.42326910335689044,profit_target
AGHOL,SELL,28,244.0,,,BALANCED,2024-10-25 00:00:00+00:00,,2024-10-25 00:00:00+00:00,291.0,1286.04,0.19262295081967212,profit_target
EREGL,SELL,257,25.520000457763672,,,BALANCED,2024-10-25 00:00:00+00:00,,2024-10-25 00:00:00+00:00,23.700000762939453,-493.0390021972653,-0.07131660118252624,stop_loss
ENKAI,SELL,82,63.70000076293945,,,BALANCED,2024-10-25 00:00:00+00:00,,2024-10-25 00:00:00+00:00,46.383750915527344,-1437.986222763061,-0.2718406536893901,stop_loss
AKBNK,SELL,69,60.79999923706055,,,BALANCED,2024-10-25 00:00:00+00:00,,2024-10-25 00:00:00+00:00,48.88936233520508,-836.9710781250001,-0.1958986357124057,stop_loss
AGHOL,BUY,19,244.0,4645.272,236.68,DEFENSIVE,2025-06-26 00:00:00+00:00,"['ml_signal', 'low_volatility', 'rsi_neutral', 'near_support']",2024-10-25 00:00:00+00:00,,,,
ENKAI,BUY,67,63.70000076293945,4276.4358512191775,61.789000740051264,DEFENSIVE,2025-06-26 00:00:00+00:00,"['ml_signal', 'low_volatility', 'trend_aligned', 'rsi_neutral']",2024-10-25 00:00:00+00:00,,,,
ENKAI,SELL,67,63.70000076293945,,,DEFENSIVE,2024-10-28 00:00:00+00:00,,2024-10-28 00:00:00+00:00,46.4224967956543,-1172.3491804809573,-0.2712323981216838,stop_loss
EGEEN,BUY,1,7075.0,7089.15,6721.25,BALANCED,2025-06-26 00:00:00+00:00,"['strong_trend', 'ml_1']",2024-10-28 00:00:00+00:00,,,,
EREGL,BUY,276,25.520000457763672,7057.607166595459,24.24400043487549,BALANCED,2025-06-26 00:00:00+00:00,"['strong_trend', 'ml_1']",2024-10-28 00:00:00+00:00,,,,
ENKAI,BUY,88,63.70000076293945,5616.811267272949,60.51500072479248,BALANCED,2025-06-26 00:00:00+00:00,"['strong_trend', 'ml_1']",2024-10-28 00:00:00+00:00,,,,
