symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,confidence,exit_reason,days_held,highest_price
KONYA,2024-10-22 00:00:00+00:00,2024-10-24 00:00:00+00:00,6310.0,6680.0,1,344.02000000000044,0.054410987849973655,0.5636211094790585,TARGET_REACHED,2,6680.0
KONTR,2024-10-22 00:00:00+00:00,2024-10-25 00:00:00+00:00,42.119998931884766,43.34000015258789,213,223.45430039978055,0.024857247734769935,0.5868019945960731,TARGET_REACHED,3,43.34000015258789
SMRTG,2024-10-22 00:00:00+00:00,2024-10-28 00:00:00+00:00,37.400001525878906,38.81999969482422,216,273.7925639648429,0.03382427964362515,0.5832202933429463,TARGET_REACHED,6,38.81999969482422
IZMDC,2024-10-24 00:00:00+00:00,2024-10-30 00:00:00+00:00,5.349999904632568,5.480000019073486,1231,133.36668106460547,0.02021006893218102,0.5537056164724018,TARGET_REACHED,6,5.480000019073486
KONTR,2024-10-25 00:00:00+00:00,2024-10-30 00:00:00+00:00,43.34000015258789,44.5,158,155.5225358428952,0.022666246732225896,0.5868019945960731,TARGET_REACHED,5,44.5
GARAN,2024-10-22 00:00:00+00:00,2024-11-01 00:00:00+00:00,111.6999969482422,105.5999984741211,89,-581.5792633819601,-0.05838456161533456,0.5971579810105925,STOP_LOSS,10,112.0
SASA,2024-10-22 00:00:00+00:00,2024-11-04 00:00:00+00:00,3.940000057220459,3.700000047683716,1847,-471.50217800188057,-0.06466255459617071,0.5738598081416189,STOP_LOSS,13,3.9600000381469727
KONTR,2024-10-30 00:00:00+00:00,2024-11-04 00:00:00+00:00,44.5,41.43999862670898,172,-555.8835957336432,-0.07248158448371655,0.5868019945960731,STOP_LOSS,5,44.5
SMRTG,2024-10-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,38.81999969482422,36.959999084472656,180,-362.0809094238275,-0.051714207435814626,0.5832202933429463,STOP_LOSS,8,39.20000076293945
GARAN,2024-11-01 00:00:00+00:00,2024-11-05 00:00:00+00:00,105.5999984741211,97.75,67,-553.1987975616457,-0.07803236888321294,0.5971579810105925,STOP_LOSS,4,105.5999984741211
KONTR,2024-11-04 00:00:00+00:00,2024-11-06 00:00:00+00:00,41.43999862670898,44.77999877929688,189,598.6688698196449,0.07628469563639392,0.5868019945960731,TARGET_REACHED,2,44.77999877929688
GARAN,2024-11-05 00:00:00+00:00,2024-11-06 00:00:00+00:00,97.75,101.8000030517578,78,284.77043756103467,0.037274842087224945,0.5971579810105925,TARGET_REACHED,1,101.8000030517578
SMRTG,2024-11-05 00:00:00+00:00,2024-11-06 00:00:00+00:00,36.959999084472656,38.31999969482422,186,224.95595397949182,0.03265764582176914,0.5832202933429463,TARGET_REACHED,1,38.31999969482422
GARAN,2024-11-06 00:00:00+00:00,2024-11-07 00:00:00+00:00,101.8000030517578,105.1999969482422,84,250.8234873046913,0.029273415908559842,0.5971579810105925,TARGET_REACHED,1,105.1999969482422
KONTR,2024-11-06 00:00:00+00:00,2024-11-07 00:00:00+00:00,44.77999877929688,46.18000030517578,172,209.51002276611234,0.02714716972742473,0.5868019945960731,TARGET_REACHED,1,46.18000030517578
KONYA,2024-10-30 00:00:00+00:00,2024-11-08 00:00:00+00:00,6875.0,7025.0,1,122.19999999999982,0.017739067319905617,0.5636211094790585,TARGET_REACHED,9,7025.0
SASA,2024-11-04 00:00:00+00:00,2024-11-08 00:00:00+00:00,3.700000047683716,3.829999923706055,1906,219.07540380764112,0.031002825321862576,0.5738598081416189,TARGET_REACHED,4,3.829999923706055
SMRTG,2024-11-06 00:00:00+00:00,2024-11-08 00:00:00+00:00,38.31999969482422,39.459999084472656,180,177.19909057617133,0.025638686091538097,0.5832202933429463,TARGET_REACHED,2,39.459999084472656
GARAN,2024-11-07 00:00:00+00:00,2024-11-08 00:00:00+00:00,105.1999969482422,109.8000030517578,75,312.75045776366824,0.03955972299207405,0.5971579810105925,TARGET_REACHED,1,109.8000030517578
KONTR,2024-11-07 00:00:00+00:00,2024-11-08 00:00:00+00:00,46.18000030517578,50.5,154,635.5025129089354,0.08918152579517,0.5868019945960731,TARGET_REACHED,1,50.5
SASA,2024-11-08 00:00:00+00:00,2024-11-11 00:00:00+00:00,3.829999923706055,4.0,1933,298.3393677711474,0.04021723642037096,0.5738598081416189,TARGET_REACHED,3,4.0
GARAN,2024-11-08 00:00:00+00:00,2024-11-13 00:00:00+00:00,109.8000030517578,113.5,92,299.3125186767593,0.02957106598928254,0.5971579810105925,TARGET_REACHED,5,113.5
KONTR,2024-11-08 00:00:00+00:00,2024-11-13 00:00:00+00:00,50.5,47.81999969482422,180,-517.7952548217781,-0.0568494753970363,0.5868019945960731,STOP_LOSS,5,50.5
IZMDC,2024-11-08 00:00:00+00:00,2024-11-13 00:00:00+00:00,5.550000190734863,5.260000228881836,1200,-373.9439552307131,-0.05603566776050234,0.5537056164724018,STOP_LOSS,5,5.559999942779541
KONTR,2024-11-13 00:00:00+00:00,2024-11-15 00:00:00+00:00,47.81999969482422,50.0,162,321.4663695373538,0.041413624412610296,0.5868019945960731,TARGET_REACHED,2,50.0
SMRTG,2024-11-08 00:00:00+00:00,2024-11-20 00:00:00+00:00,39.459999084472656,37.2400016784668,208,-493.66666076660204,-0.06002686625223679,0.5832202933429463,STOP_LOSS,12,40.060001373291016
KONYA,2024-11-13 00:00:00+00:00,2024-11-20 00:00:00+00:00,6622.5,6387.5,1,-261.0199999999995,-0.03933544764001624,0.5636211094790585,STOP_LOSS,7,6747.5
KONTR,2024-11-15 00:00:00+00:00,2024-11-20 00:00:00+00:00,50.0,47.0,142,-453.5479999999998,-0.06375249500998001,0.5868019945960731,STOP_LOSS,5,50.0
KONTR,2024-11-20 00:00:00+00:00,2024-11-21 00:00:00+00:00,47.0,49.060001373291016,180,336.21864669799834,0.039662831157778806,0.5868019945960731,TARGET_REACHED,1,49.060001373291016
SMRTG,2024-11-20 00:00:00+00:00,2024-11-21 00:00:00+00:00,37.2400016784668,38.20000076293945,205,165.8694113159172,0.02168378182200425,0.5832202933429463,TARGET_REACHED,1,38.20000076293945
KONYA,2024-11-20 00:00:00+00:00,2024-11-21 00:00:00+00:00,6387.5,6557.5,1,144.11000000000058,0.022516220006171702,0.5636211094790585,TARGET_REACHED,1,6557.5
SASA,2024-11-11 00:00:00+00:00,2024-11-22 00:00:00+00:00,4.0,4.170000076293945,1691,259.83918875503514,0.03833834235063804,0.5738598081416189,TARGET_REACHED,11,4.170000076293945
GARAN,2024-11-13 00:00:00+00:00,2024-11-22 00:00:00+00:00,113.5,119.5,75,415.0500000000011,0.048660388474153146,0.5971579810105925,TARGET_REACHED,9,119.5
KONYA,2024-11-21 00:00:00+00:00,2024-11-22 00:00:00+00:00,6557.5,6780.0,1,195.82499999999982,0.02980314628082757,0.5636211094790585,TARGET_REACHED,1,6780.0
SMRTG,2024-11-21 00:00:00+00:00,2024-11-25 00:00:00+00:00,38.20000076293945,40.560001373291016,201,442.6986018218995,0.05754147626450341,0.5832202933429463,TARGET_REACHED,4,40.560001373291016
KONYA,2024-11-22 00:00:00+00:00,2024-11-25 00:00:00+00:00,6780.0,7007.5,1,199.92499999999927,0.029428605915013523,0.5636211094790585,TARGET_REACHED,3,7007.5
SASA,2024-11-22 00:00:00+00:00,2024-11-26 00:00:00+00:00,4.170000076293945,4.269999980926514,1848,153.605583549499,0.01989304436627294,0.5738598081416189,TARGET_REACHED,4,4.269999980926514
GARAN,2024-11-22 00:00:00+00:00,2024-11-28 00:00:00+00:00,119.5,121.9000015258789,71,136.12130812072792,0.016011504378917095,0.5971579810105925,TARGET_REACHED,6,121.9000015258789
SMRTG,2024-11-25 00:00:00+00:00,2024-11-28 00:00:00+00:00,40.560001373291016,38.5,191,-423.66118282318166,-0.054578252295602904,0.5832202933429463,STOP_LOSS,3,40.560001373291016
SASA,2024-11-26 00:00:00+00:00,2024-11-29 00:00:00+00:00,4.269999980926514,4.050000190734863,1658,-392.348772706986,-0.05530853786385308,0.5738598081416189,STOP_LOSS,3,4.309999942779541
KONTR,2024-11-21 00:00:00+00:00,2024-12-02 00:00:00+00:00,49.060001373291016,46.380001068115234,174,-499.5331739501944,-0.05840093619724889,0.5868019945960731,STOP_LOSS,11,49.52000045776367
GARAN,2024-11-28 00:00:00+00:00,2024-12-03 00:00:00+00:00,121.9000015258789,124.6999969482422,65,149.94170265197863,0.018885898396315055,0.5971579810105925,TARGET_REACHED,5,124.6999969482422
SMRTG,2024-11-28 00:00:00+00:00,2024-12-03 00:00:00+00:00,38.5,39.36000061035156,186,130.99619329833968,0.018256489854858036,0.5832202933429463,TARGET_REACHED,5,39.36000061035156
SASA,2024-11-29 00:00:00+00:00,2024-12-03 00:00:00+00:00,4.050000190734863,4.239999771118164,1759,305.0450420284269,0.04273417912136098,0.5738598081416189,TARGET_REACHED,4,4.239999771118164
SASA,2024-12-03 00:00:00+00:00,2024-12-04 00:00:00+00:00,4.239999771118164,4.360000133514404,1679,172.60180878353094,0.024196975891683545,0.5738598081416189,TARGET_REACHED,1,4.360000133514404
IZMDC,2024-11-25 00:00:00+00:00,2024-12-06 00:00:00+00:00,5.349999904632568,5.510000228881836,1307,180.73238344478614,0.02579519959094536,0.5537056164724018,TARGET_REACHED,11,5.510000228881836
GARAN,2024-12-03 00:00:00+00:00,2024-12-06 00:00:00+00:00,124.6999969482422,128.60000610351562,70,237.5386404418914,0.027158267524422623,0.5971579810105925,TARGET_REACHED,3,128.60000610351562
SMRTG,2024-12-03 00:00:00+00:00,2024-12-09 00:00:00+00:00,39.36000061035156,41.02000045776367,200,299.8479690551758,0.038014413805197475,0.5832202933429463,TARGET_REACHED,6,41.02000045776367
SASA,2024-12-04 00:00:00+00:00,2024-12-09 00:00:00+00:00,4.360000133514404,4.460000038146973,1636,134.74080341720583,0.018852181363688627,0.5738598081416189,TARGET_REACHED,5,4.460000038146973
GARAN,2024-12-06 00:00:00+00:00,2024-12-09 00:00:00+00:00,128.60000610351562,132.0,62,178.48522082519503,0.02234096152676152,0.5971579810105925,TARGET_REACHED,3,132.0
KONYA,2024-12-06 00:00:00+00:00,2024-12-09 00:00:00+00:00,7092.5,7800.0,1,677.7149999999992,0.09536302790963708,0.5636211094790585,TARGET_REACHED,3,7800.0
IZMDC,2024-12-09 00:00:00+00:00,2024-12-11 00:00:00+00:00,6.050000190734863,5.670000076293945,1165,-470.00773394584667,-0.06655121199847447,0.5537056164724018,STOP_LOSS,2,6.050000190734863
SASA,2024-12-09 00:00:00+00:00,2024-12-18 00:00:00+00:00,4.460000038146973,4.159999847412109,1756,-557.0737745285032,-0.07098811072755472,0.5738598081416189,STOP_LOSS,9,4.460000038146973
KONTR,2024-12-02 00:00:00+00:00,2024-12-19 00:00:00+00:00,46.380001068115234,42.09999847412109,155,-690.8292019271857,-0.09590483738078662,0.5868019945960731,STOP_LOSS,17,47.09999847412109
GARAN,2024-12-09 00:00:00+00:00,2024-12-19 00:00:00+00:00,132.0,124.6999969482422,73,-570.378422332762,-0.05907429871812643,0.5971579810105925,STOP_LOSS,10,132.0
SMRTG,2024-12-09 00:00:00+00:00,2024-12-23 00:00:00+00:00,41.02000045776367,38.81999969482422,212,-500.25232180786224,-0.05741030705317107,0.5832202933429463,STOP_LOSS,14,41.43999862670898
KONTR,2024-12-19 00:00:00+00:00,2024-12-23 00:00:00+00:00,42.09999847412109,39.0,168,-548.049343139648,-0.0773322378830217,0.5868019945960731,STOP_LOSS,4,42.09999847412109
