date,value,cash,positions,returns
2024-10-22 00:00:00+00:00,99918.59700280952,59217.09840757179,5,
2024-10-23 00:00:00+00:00,99240.81827527808,59217.09840757179,5,-0.006783309092224132
2024-10-24 00:00:00+00:00,99879.34317666816,59217.09840757179,5,0.006434095491019809
2024-10-25 00:00:00+00:00,99849.20219690131,59217.09840757179,5,-0.0003017739084800741
2024-10-28 00:00:00+00:00,100472.00359342001,63106.474142049774,5,0.0062374198573018624
2024-10-30 00:00:00+00:00,100583.90239617728,63106.474142049774,5,0.0011137311763989022
2024-10-31 00:00:00+00:00,100018.98878667258,63106.474142049774,5,-0.005616342138721531
2024-11-01 00:00:00+00:00,100377.15711209677,63106.474142049774,5,0.003581003265171079
2024-11-04 00:00:00+00:00,99504.62496150016,63325.670536642065,5,-0.008692536984507448
2024-11-05 00:00:00+00:00,99767.4603477764,63325.670536642065,5,0.0026414388916891074
2024-11-06 00:00:00+00:00,100811.36151806067,61993.26848331642,5,0.010463343124555546
2024-11-07 00:00:00+00:00,100962.21226319313,63680.404844369885,5,0.001496366509298852
2024-11-08 00:00:00+00:00,101947.33875641061,62668.48131069376,5,0.009757378242162495
2024-11-11 00:00:00+00:00,101926.06855783655,64749.381939985295,5,-0.0002086390761496526
2024-11-12 00:00:00+00:00,102003.1555129452,64667.6485024853,5,0.0007563026436647746
2024-11-13 00:00:00+00:00,101745.19969000056,64667.6485024853,5,-0.0025289004212414312
2024-11-14 00:00:00+00:00,102134.19417967036,64667.6485024853,5,0.0038232220375506998
2024-11-15 00:00:00+00:00,101993.5406724377,64667.6485024853,5,-0.00137714414219825
2024-11-18 00:00:00+00:00,102173.12584325984,66176.52556822017,5,0.0017607504322150191
2024-11-19 00:00:00+00:00,101352.156855032,65554.15793363765,5,-0.008035077535821555
2024-11-20 00:00:00+00:00,100127.37945997051,62952.18978750042,5,-0.01208437425572828
2024-11-21 00:00:00+00:00,101357.27093278125,61949.12398492054,5,0.012283268367194511
2024-11-22 00:00:00+00:00,102150.17053233723,63628.82743465046,5,0.00782281914517835
2024-11-25 00:00:00+00:00,102704.52382480244,63628.82743465046,5,0.0054268464709974484
2024-11-26 00:00:00+00:00,102184.82136165242,63628.82743465046,5,-0.005060171098563826
2024-11-27 00:00:00+00:00,101861.81939305882,64616.74887647251,5,-0.003160958391759894
2024-11-28 00:00:00+00:00,102019.41327413562,64713.946753826174,5,0.0015471339704691278
2024-11-29 00:00:00+00:00,102319.78772168735,64366.33655839542,5,0.00294428714998185
2024-12-02 00:00:00+00:00,102602.9717217026,64366.33655839542,5,0.002767636703718823
2024-12-03 00:00:00+00:00,102759.9921441956,64439.3754354401,5,0.0015303691487502658
2024-12-04 00:00:00+00:00,102973.39353385929,65361.5715686417,5,0.0020766972165999764
2024-12-05 00:00:00+00:00,102947.09766606908,65384.522418304485,5,-0.0002553656521143699
2024-12-06 00:00:00+00:00,103089.27605013279,65502.99889616398,5,0.0013810820050983441
2024-12-09 00:00:00+00:00,104196.93492501072,61676.02376454167,5,0.010744656644394945
2024-12-10 00:00:00+00:00,103093.16572087101,61676.02376454167,5,-0.01059310626492116
2024-12-11 00:00:00+00:00,103190.57628420262,61957.47663954167,5,0.0009448789611850028
2024-12-12 00:00:00+00:00,103647.46417849735,62317.9869684525,5,0.004427612585827578
2024-12-13 00:00:00+00:00,104426.53845256046,62317.9869684525,5,0.007516578241812288
2024-12-16 00:00:00+00:00,103899.47798865514,62317.9869684525,5,-0.005047188882400411
2024-12-17 00:00:00+00:00,103653.02168567663,61489.110356407225,5,-0.0023720648818410517
2024-12-18 00:00:00+00:00,103323.85834892279,61489.110356407225,5,-0.003175627023706218
